index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
14,282418,2022-02-11,10:45,2022,54,A-League,Journée 14,15211,18574,Western Sydney Wanderers,Melbourne City,Western Sydney Wanderers - Melbourne City,1-3,1,3,2,42.0,36.0,6.0,661.0,503.0,-23.9,-17.0,92.0,-109.0,26.5,22.6,50.9,1.29,1.86,-0.5700000000000001
8,16431,2022-02-11,19:30,2022,93,2. Liga,Journée 22,1062,2914,Erzgebirge Aue,Holstein Kiel,Erzgebirge Aue - Holstein Kiel,0-1,0,1,1,50.0,44.0,6.0,937.0,723.0,-22.8,-4.0,46.0,-50.0,41.4,24.6,34.0,1.54,1.38,0.16000000000000014
9,16434,2022-02-11,19:30,2022,93,2. Liga,Journée 22,1292,2746,Hansa Rostock,Werder Bremen,Hansa Rostock - Werder Bremen,0-0,0,0,1,42.0,76.0,-34.0,664.0,2207.0,-69.9,8.0,75.0,-67.0,6.1,9.4,84.6,0.99,3.62,-2.63
10,63343,2022-02-11,19:55,2022,20,Liga 1,Journée 26,2801,57428,FC Rapid Bucuresti,Sepsi,FC Rapid Bucuresti - Sepsi,,,,,42.0,37.0,5.0,672.0,527.0,-21.6,-7.0,1.0,-8.0,47.8,26.6,25.6,1.44,0.98,0.45999999999999996
11,12351,2022-02-11,20:30,2022,11,Bundesliga,Temporada Regular,9774,3698,Rapid Wien,Salzburg,Rapid Wien - Salzburg,,,,,69.0,75.0,-6.0,1865.0,2150.0,-13.3,7.0,29.0,-22.0,37.3,25.2,37.5,1.41,1.41,0.0
4,2518,2022-02-11,21:00,2022,9,Eredivisie,Journée 22,1309,1115,Heracles,Utrecht,Heracles - Utrecht,,,,,71.0,76.0,-5.0,1981.0,2254.0,-12.1,24.0,57.0,-33.0,36.0,23.0,41.1,1.59,1.71,-0.11999999999999988
13,18265,2022-02-11,21:00,2022,95,NB I Hongrie,Journée 20,2578,20441,Újpest FC,Kisvárda,Újpest FC - Kisvárda,,,,,55.0,38.0,17.0,1143.0,533.0,-53.4,31.0,29.0,2.0,63.1,18.3,18.6,2.46,1.29,1.17
2,15740,2022-02-11,21:30,2022,8,Bundesliga,Journée 22,9750,4,RB Leipzig,Köln,RB Leipzig - Köln,,,,,63.0,77.0,-14.0,1533.0,2310.0,-33.6,26.0,31.0,-5.0,34.1,23.2,42.7,1.51,1.72,-0.20999999999999996
12,8012,2022-02-11,21:30,2022,128,Ekstraklasa,Journée 21,1703,1889,KS Cracovia,Lechia Gdansk,KS Cracovia - Lechia Gdansk,,,,,51.0,50.0,1.0,1001.0,963.0,-3.8,18.0,44.0,-26.0,43.8,23.8,32.3,1.66,1.4,0.26
7,3249,2022-02-11,21:45,2022,12,Pro League,Journée 27,16892,7512,RFC Seraing,Antwerp,RFC Seraing - Antwerp,,,,,38.0,54.0,-16.0,537.0,1095.0,-51.0,5.0,36.0,-31.0,26.7,23.9,49.5,1.19,1.71,-0.52
0,21037,2022-02-11,22:00,2022,1,Liga Santander,Journée 24,1102,975,Sevilla,Elche,Sevilla - Elche,,,,,91.0,62.0,29.0,3228.0,1476.0,-54.3,-7.0,21.0,-28.0,78.3,13.7,8.1,2.72,0.77,1.9500000000000002
1,21527,2022-02-11,22:00,2022,2,Segunda División,Journée 27,1535,2136,Leganés,Real Zaragoza,Leganés - Real Zaragoza,,,,,65.0,60.0,5.0,1655.0,1376.0,-16.9,-27.0,-14.0,-13.0,44.6,29.7,25.7,1.21,0.84,0.37
3,16191,2022-02-11,22:00,2022,16,Ligue 1,Journée 24,1924,3863,PSG,Stade Rennais,PSG - Stade Rennais,,,,,92.0,76.0,16.0,3295.0,2219.0,-32.7,-7.0,22.0,-29.0,73.2,16.8,10.0,2.33,0.73,1.6
5,35311,2022-02-11,22:15,2022,19,Liga NOS,Journée 22,1095,4098,Porto,Sporting CP,Porto - Sporting CP,,,,,90.0,87.0,3.0,3154.0,2959.0,-6.2,20.0,33.0,-13.0,55.1,21.7,23.2,1.98,1.22,0.76
6,354256,2022-02-11,23:00,2022,1780,Liga Única,Journée 2,9953,9948,Palestino,O'Higgins,Palestino - O'Higgins,,,,,75.0,75.0,0.0,2178.0,2177.0,-0.0,7.0,-21.0,28.0,54.9,25.9,19.2,1.53,0.78,0.75
