index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
58,433736,2022-03-31,00:00,2022,558,Sul-Matogrossense,6.513,2ª Fase,16591,16585,Aquidauanense,Naviraiense,Aquidauanense - Naviraiense,,,,,50.0,38.0,12.0,950.0,540.0,-43.2,20.0,60.0,-40.0,52.2,21.4,26.4,2.04,1.41,0.6300000000000001
87,376951,2022-03-31,00:00,2022,1928,Championnat colombien féminin,5.032,Journée 9,121271,100672,Millonarios Fem,Orsomarso Fem,Millonarios Fem - Orsomarso Fem,,,,,,,,,,,,,,,,,,,
27,433713,2022-03-31,00:15,2022,1518,Championnat de Bahia ,10.771,Demi-finales,62873,17671,Atlético Alagoinhas,Bahia de Feira,Atlético Alagoinhas - Bahia de Feira,,,,,37.0,37.0,0.0,511.0,511.0,0.0,7.0,-2.0,9.0,47.9,26.2,25.9,1.48,1.01,0.47
76,439900,2022-03-31,01:00,2022,1496,Alagoano,6.174,Demi-finales,59752,6521,Murici,ASA Arapiraquense,Murici - ASA Arapiraquense,,,,,32.0,42.0,-10.0,413.0,665.0,-37.9,-23.0,38.0,-61.0,23.6,25.9,50.6,0.95,1.52,-0.5700000000000001
135,414797,2022-03-31,01:00,2022,1419,Championnat Surinam,1.114,Journée 5,119326,57374,Bintang Lair,Inter Moengotapoe,Bintang Lair - Inter Moengotapoe,,,,,3.0,4.0,-1.0,26.0,75.0,-65.3,-29.0,358.0,-387.0,2.3,4.4,93.3,0.89,4.74,-3.85
22,441607,2022-03-31,01:00,2022,567,Mineiro 1,12.784,Finale,16682,119255,Caldense,Athletic Club,Caldense - Athletic Club,,,,,30.0,49.0,-19.0,388.0,898.0,-56.8,-12.0,21.0,-33.0,27.1,25.7,47.3,1.08,1.52,-0.43999999999999995
30,441609,2022-03-31,01:00,2022,576,Paranaense 1,10.000,Finale,84170,837,Grêmio Maringá,Coritiba,Grêmio Maringá - Coritiba,,,,,43.0,70.0,-27.0,682.0,1930.0,-64.7,6.0,-11.0,17.0,26.4,25.7,47.9,1.05,1.51,-0.45999999999999996
49,425912,2022-03-31,01:00,2022,580,Championnat du Rio Grande do Norte,7.120,Segunda Fase,17303,17301,ABC,ASSU,ABC - ASSU,,,,,45.0,50.0,-5.0,763.0,954.0,-20.0,74.0,-42.0,116.0,74.6,16.7,8.8,2.27,0.64,1.63
59,433737,2022-03-31,01:00,2022,558,Sul-Matogrossense,6.513,2ª Fase,16592,59763,Costa Rica,Chapadão,Costa Rica - Chapadão,,,,,49.0,44.0,5.0,907.0,717.0,-20.9,36.0,31.0,5.0,56.2,21.1,22.7,2.06,1.25,0.81
10,309546,2022-03-31,01:00,2022,2369,Liga de Expansión MX - Clausura,27.463,Journée 15,6618,59697,Celaya,Mineros de Zacatecas,Celaya - Mineros de Zacatecas,,,,,51.0,55.0,-4.0,979.0,1161.0,-15.7,11.0,28.0,-17.0,38.3,25.0,36.7,1.45,1.41,0.040000000000000036
