index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
3,318345,2022-02-16,01:00,2022,42,Ouverture - Colombie,43.500,Temporada Regular,5938,5940,Unión Magdalena,Atlético Bucaramanga,Unión Magdalena - Atlético Bucaramanga,,,,,53.0,67.0,-14.0,1067.0,1773.0,-39.8,29.0,-7.0,36.0,44.5,25.2,30.3,1.53,1.22,0.31000000000000005
15,306073,2022-02-16,03:00,2022,706,CONCACAF Champions,24.519,1/8 de finale,4394,59736,Santos de Guápiles,New York City,Santos de Guápiles - New York City,,,,,39.0,63.0,-24.0,565.0,1555.0,-63.7,56.0,6.0,50.0,32.8,22.5,44.7,1.55,1.83,-0.28
4,318347,2022-02-16,03:05,2022,42,Ouverture - Colombie,43.500,Temporada Regular,11320,4372,Envigado,At. Nacional,Envigado - At. Nacional,,,,,67.0,81.0,-14.0,1758.0,2541.0,-30.8,0.0,26.0,-26.0,28.2,24.1,47.7,1.23,1.67,-0.43999999999999995
16,306079,2022-02-16,05:00,2022,706,CONCACAF Champions,24.519,1/8 de finale,10274,6385,Santos Laguna,CF Montréal,Santos Laguna - CF Montréal,,,,,73.0,62.0,11.0,2065.0,1488.0,-27.9,5.0,9.0,-4.0,63.2,20.4,16.4,2.06,0.94,1.12
17,282382,2022-02-16,08:25,2022,54,A-League,11.346,Journée 8,2744,4087,Wellington Phoenix,Brisbane Roar,Wellington Phoenix - Brisbane Roar,,,,,26.0,35.0,-9.0,322.0,473.0,-31.9,35.0,27.0,8.0,46.5,23.2,30.3,1.77,1.39,0.3800000000000001
8,119321,2022-02-16,16:00,2022,17,Super League,40.298,Journée 17,6377,20599,Panaitolikos,Lamia,Panaitolikos - Lamia,,,,,63.0,43.0,20.0,1547.0,698.0,-54.9,-26.0,-3.0,-23.0,53.4,25.4,21.2,1.57,0.88,0.6900000000000001
9,119352,2022-02-16,18:00,2022,17,Super League,40.298,Journée 17,387,1845,Atromitos,OFI,Atromitos - OFI,,,,,68.0,58.0,10.0,1776.0,1277.0,-28.1,-33.0,1.0,-34.0,41.5,29.4,29.2,1.19,0.95,0.24
10,119295,2022-02-16,18:30,2022,17,Super League,40.298,Journée 17,235,1911,Apollon Smyrnis,Panathinaikos,Apollon Smyrnis - Panathinaikos,,,,,58.0,70.0,-12.0,1314.0,1889.0,-30.4,-46.0,-20.0,-26.0,23.5,33.8,42.7,0.66,1.0,-0.33999999999999997
11,96342,2022-02-16,19:30,2022,89,Serie B,34.539,Journée 23,2621,1531,US Alessandria,Lecce,US Alessandria - Lecce,,,,,49.0,49.0,0.0,907.0,908.0,-0.1,-5.0,7.0,-12.0,43.2,27.1,29.6,1.36,1.07,0.29000000000000004
12,96343,2022-02-16,19:30,2022,89,Serie B,34.539,Journée 23,465,290,Benevento,Ascoli,Benevento - Ascoli,,,,,52.0,53.0,-1.0,1028.0,1059.0,-2.9,3.0,59.0,-56.0,35.3,24.0,40.7,1.47,1.59,-0.1200000000000001
13,96345,2022-02-16,19:30,2022,89,Serie B,34.539,Journée 23,1056,544,Crotone,Brescia,Crotone - Brescia,,,,,66.0,59.0,7.0,1702.0,1320.0,-22.4,27.0,36.0,-9.0,59.6,19.8,20.6,2.25,1.27,0.98
14,96346,2022-02-16,19:30,2022,89,Serie B,34.539,Journée 23,1174,822,Frosinone,Como,Frosinone - Como,,,,,56.0,41.0,15.0,1186.0,631.0,-46.8,-3.0,52.0,-55.0,45.2,23.7,31.2,1.7,1.37,0.32999999999999985
2,20987,2022-02-16,20:00,2022,1,Liga Santander,81.053,Journée 21,369,1547,Atlético,Levante,Atlético - Levante,,,,,97.0,65.0,32.0,3702.0,1633.0,-55.9,-24.0,20.0,-44.0,57.9,20.9,21.3,2.08,1.19,0.8900000000000001
5,318340,2022-02-16,21:00,2022,42,Ouverture - Colombie,43.500,Temporada Regular,912,11716,Deportivo Pereira,Jaguares FC,Deportivo Pereira - Jaguares FC,,,,,54.0,60.0,-6.0,1097.0,1412.0,-22.3,9.0,-3.0,12.0,43.1,27.2,29.7,1.35,1.07,0.28
7,13146,2022-02-16,21:45,2022,25,Championship,44.022,Journée 24,5653,2092,Peterborough United,Reading,Peterborough United - Reading,,,,,47.0,55.0,-8.0,852.0,1172.0,-27.3,44.0,-14.0,58.0,56.7,22.5,20.8,1.86,1.03,0.8300000000000001
1,304976,2022-02-16,22:00,2022,107,Ligue des Champions,100.000,1/8 de finale,1381,3845,Inter,Liverpool,Inter - Liverpool,,,,,84.0,90.0,-6.0,2755.0,3147.0,-12.5,28.0,63.0,-35.0,34.4,22.4,43.2,1.62,1.83,-0.20999999999999996
0,304964,2022-02-16,22:00,2022,107,Ligue des Champions,100.000,1/8 de finale,3698,449,Salzburg,Bayern München,Salzburg - Bayern München,,,,,75.0,95.0,-20.0,2158.0,3584.0,-39.8,55.0,72.0,-17.0,13.3,13.1,73.6,1.56,3.47,-1.9100000000000001
6,318348,2022-02-16,23:05,2022,42,Ouverture - Colombie,43.500,Temporada Regular,900,2255,Deportes Tolima,Santa Fe,Deportes Tolima - Santa Fe,,,,,72.0,77.0,-5.0,2028.0,2311.0,-12.2,-19.0,-6.0,-13.0,35.8,30.1,34.1,1.06,1.03,0.030000000000000027
