index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
5,438672,2022-05-05,00:00,2022,204,Copa Libertadores,58.333,Grupo G,815,725,Colón,Cerro Porteño,Colón - Cerro Porteño,,,,,73.0,51.0,22.0,2045.0,1005.0,-50.9,-7.0,33.0,-40.0,61.6,20.5,18.0,2.09,1.04,1.0499999999999998,wld,dww
6,438684,2022-05-05,00:00,2022,204,Copa Libertadores,58.333,Grupo G,6563,1155,Talleres Córdoba,Flamengo,Talleres Córdoba - Flamengo,,,,,59.0,79.0,-20.0,1333.0,2423.0,-45.0,-6.0,19.0,-25.0,19.8,21.8,58.3,1.04,1.94,-0.8999999999999999,wlw,www
13,308170,2022-05-05,01:30,2022,69,MLS,36.302,Journée 16,84193,2509,Cincinnati,Toronto FC,Cincinnati - Toronto FC,,,,,36.0,70.0,-34.0,486.0,1929.0,-74.8,8.0,-6.0,14.0,19.6,21.8,58.5,1.03,1.93,-0.8999999999999999,lldlw,wdwll
7,438648,2022-05-05,02:00,2022,204,Copa Libertadores,58.333,Grupo G,906,836,Deportivo Cali,Corinthians,Deportivo Cali - Corinthians,,,,,72.0,82.0,-10.0,2008.0,2622.0,-23.4,-17.0,-40.0,23.0,40.7,32.9,26.5,1.01,0.75,0.26,wld,lww
8,438649,2022-05-05,02:00,2022,204,Copa Libertadores,58.333,Grupo G,62958,583,Always Ready,Boca Juniors,Always Ready - Boca Juniors,,,,,35.0,84.0,-49.0,482.0,2700.0,-82.1,68.0,-19.0,87.0,25.3,21.8,52.9,1.31,1.98,-0.6699999999999999,wld,lwl
9,438673,2022-05-05,02:00,2022,204,Copa Libertadores,58.333,Grupo G,1852,1945,Olimpia,Peñarol,Olimpia - Peñarol,,,,,50.0,66.0,-16.0,955.0,1706.0,-44.0,-1.0,-22.0,21.0,35.8,28.4,35.8,1.15,1.15,0.0,dld,lwl
11,438685,2022-05-05,04:00,2022,204,Copa Libertadores,58.333,Grupo G,2392,2597,Sporting Cristal,U. Católica,Sporting Cristal - U. Católica,,,,,40.0,75.0,-35.0,613.0,2193.0,-72.0,42.0,11.0,31.0,21.1,19.5,59.5,1.33,2.31,-0.98,lll,lwl
10,438637,2022-05-05,04:00,2022,204,Copa Libertadores,58.333,Grupo G,900,16078,Deportes Tolima,Independiente del Valle,Deportes Tolima - Independiente del Valle,,,,,72.0,48.0,24.0,2006.0,890.0,-55.6,0.0,22.0,-22.0,67.7,18.2,14.1,2.31,0.95,1.36,ldw,wdd
14,457380,2022-05-05,04:00,2022,706,CONCACAF Champions,28.846,Finale,3992,2035,Seattle Sounders,Pumas UNAM,Seattle Sounders - Pumas UNAM,,,,,72.0,70.0,2.0,2006.0,1921.0,-4.2,6.0,-1.0,7.0,55.4,24.1,20.5,1.69,0.92,0.7699999999999999,,
18,356518,2022-05-05,07:00,2022,59,K-League,15.061,Journée 10,10069,1410,Seongnam FC,Jeju United,Seongnam FC - Jeju United,,,,,37.0,43.0,-6.0,520.0,699.0,-25.6,-38.0,57.0,-95.0,17.3,23.4,59.4,0.81,1.74,-0.9299999999999999,,
17,356517,2022-05-05,07:00,2022,59,K-League,15.061,Journée 10,1412,1101,Jeonbuk Hyundai Motors,FC Seoul,Jeonbuk Hyundai Motors - FC Seoul,,,,,56.0,53.0,3.0,1198.0,1086.0,-9.3,-13.0,5.0,-18.0,44.6,27.4,28.0,1.35,1.01,0.3400000000000001,,
20,356520,2022-05-05,09:30,2022,59,K-League,15.061,Journée 10,1983,880,Pohang Steelers,Daegu FC,Pohang Steelers - Daegu FC,,,,,48.0,33.0,15.0,887.0,430.0,-51.5,-9.0,25.0,-34.0,47.9,24.8,27.4,1.61,1.15,0.4600000000000002,,
19,356519,2022-05-05,09:30,2022,59,K-League,15.061,Journée 10,2440,2579,Suwon Bluewings,Ulsan Hyundai,Suwon Bluewings - Ulsan Hyundai,,,,,50.0,45.0,5.0,966.0,785.0,-18.7,-44.0,69.0,-113.0,19.8,24.9,55.3,0.85,1.61,-0.7600000000000001,dddll,wwdww
23,282435,2022-05-05,11:05,2022,54,A-League,12.500,Journée 16,15211,2744,Western Sydney Wanderers,Wellington Phoenix,Western Sydney Wanderers - Wellington Phoenix,,,,,42.0,28.0,14.0,665.0,352.0,-47.1,-12.0,56.0,-68.0,37.9,25.3,36.8,1.41,1.39,0.020000000000000018,ddwld,wwlwl
22,356522,2022-05-05,12:00,2022,59,K-League,15.061,Journée 10,6443,3991,Gimcheon Sangmu FC,Gangwon FC,Gimcheon Sangmu FC - Gangwon FC,,,,,33.0,39.0,-6.0,439.0,574.0,-23.5,41.0,-14.0,55.0,58.4,22.7,18.9,1.83,0.93,0.9,,
21,356521,2022-05-05,12:00,2022,59,K-League,15.061,Journée 10,13686,1372,Suwon FC,Incheon United,Suwon FC - Incheon United,,,,,34.0,40.0,-6.0,457.0,614.0,-25.6,43.0,22.0,21.0,49.8,22.7,27.5,1.85,1.33,0.52,,
16,143445,2022-05-05,16:45,2022,182,Superliga Albanie,15.889,Temporada Regular,4026,5830,Dinamo Tirana,Vllaznia Shkodër,Dinamo Tirana - Vllaznia Shkodër,,,,,33.0,43.0,-10.0,438.0,712.0,-38.5,-64.0,-15.0,-49.0,16.7,34.7,48.6,0.47,1.02,-0.55,lllll,ldddw
15,18331,2022-05-05,18:00,2022,95,NB I Hongrie,24.697,Journée 31,20441,2578,Kisvárda,Újpest FC,Kisvárda - Újpest FC,,,,,38.0,56.0,-18.0,534.0,1181.0,-54.8,81.0,35.0,46.0,46.7,20.7,32.5,2.13,1.76,0.3699999999999999,lldwd,wwwld
2,48962,2022-05-05,18:00,2022,7,Serie A,73.816,Journée 20,2209,2673,Salernitana,Venezia,Salernitana - Venezia,,,,,49.0,37.0,12.0,927.0,512.0,-44.8,-21.0,19.0,-40.0,43.6,27.3,29.1,1.35,1.05,0.30000000000000004,lwwwd,lllll
12,336372,2022-05-05,19:00,2022,22,Allsvenskan,37.400,Temporada Regular,930,1307,Djurgårdens,Helsingborgs,Djurgårdens - Helsingborgs,,,,,64.0,72.0,-8.0,1590.0,2018.0,-21.2,10.0,31.0,-21.0,34.0,24.8,41.2,1.35,1.51,-0.15999999999999992,lwdlw,llwdl
4,457387,2022-05-05,21:00,2022,2492,Conference League,64.000,Demi-finales,5117,1135,Olympique Marseille,Feyenoord,Olympique Marseille - Feyenoord,,,,,83.0,83.0,0.0,2654.0,2687.0,-1.2,-11.0,37.0,-48.0,34.9,26.1,39.0,1.28,1.37,-0.09000000000000008,,
3,457385,2022-05-05,21:00,2022,2492,Conference League,64.000,Demi-finales,2176,1538,Roma,Leicester,Roma - Leicester,,,,,89.0,80.0,9.0,3097.0,2493.0,-19.5,-18.0,33.0,-51.0,44.4,25.0,30.5,1.55,1.24,0.31000000000000005,,
1,457389,2022-05-05,21:00,2022,117,Europa League,76.800,Demi-finales,1241,9750,Rangers FC,RB Leipzig,Rangers FC - RB Leipzig,,,,,64.0,67.0,-3.0,1608.0,1769.0,-9.1,34.0,93.0,-59.0,37.3,21.1,41.7,1.87,1.99,-0.11999999999999988,,
