index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
23,364968,2022-02-09,01:00,2022,46,Primera Division,Journée 1,4423,886,Cerrito,Danubio,Cerrito - Danubio,0-1,0,1,2,41.0,69.0,-28.0,625.0,1831.0,-65.9,-10.0,10.0,-20.0,19.5,23.0,57.5,0.94,1.8,-0.8600000000000001
27,282408,2022-02-09,10:05,2022,54,A-League,Journée 12,2744,1671,Wellington Phoenix,Melbourne Victory,Wellington Phoenix - Melbourne Victory,1-0,1,0,0,27.0,42.0,-15.0,342.0,649.0,-47.3,42.0,21.0,21.0,48.0,23.0,29.0,1.8,1.36,0.43999999999999995
24,63333,2022-02-09,15:00,2022,20,Liga 1,Journée 25,7566,17047,Chindia Târgovişte,FC Arges,Chindia Târgovişte - FC Arges,1-1,1,1,1,44.0,31.0,13.0,724.0,393.0,-45.7,-41.0,-14.0,-27.0,37.4,32.6,30.0,0.98,0.84,0.14
25,63335,2022-02-09,17:30,2022,20,Liga 1,Journée 25,1697,119352,Mioveni,Farul Constanța,Mioveni - Farul Constanța,1-1,1,1,1,48.0,45.0,3.0,884.0,754.0,-14.7,-35.0,-3.0,-32.0,36.1,31.3,32.5,1.01,0.94,0.07000000000000006
6,371161,2022-02-09,19:30,2022,325,Coupe de France,1/4 de finale,6786,82223,Bergerac,Versailles,Bergerac - Versailles,1-1,1,1,2,18.0,17.0,1.0,244.0,242.0,-0.8,-1.0,50.0,-51.0,33.9,24.6,41.4,1.37,1.54,-0.16999999999999993
21,3208,2022-02-09,19:45,2022,12,Pro League,Journée 22,2799,1477,Zulte-Waregem,KV Oostende,Zulte-Waregem - KV Oostende,0-0,0,0,1,63.0,62.0,1.0,1545.0,1503.0,-2.7,8.0,40.0,-32.0,41.1,24.6,34.3,1.54,1.39,0.15000000000000013
26,63331,2022-02-09,19:55,2022,20,Liga 1,Journée 25,1037,9964,FC Academica Clinceni,FCSB,FC Academica Clinceni - FCSB,0-3,0,3,2,41.0,69.0,-28.0,616.0,1844.0,-66.6,-32.0,-10.0,-22.0,16.6,26.0,57.4,0.68,1.51,-0.83
20,4166,2022-02-09,21:45,2022,14,Premiership,Journée 26,2416,2415,St. Mirren,St. Johnstone,St. Mirren - St. Johnstone,2-1,2,1,0,44.0,66.0,-22.0,731.0,1683.0,-56.6,-31.0,-34.0,3.0,28.6,33.5,37.9,0.78,0.95,-0.16999999999999993
19,4165,2022-02-09,21:45,2022,14,Premiership,Journée 26,2182,1565,Ross County FC,Livingston,Ross County FC - Livingston,1-1,1,1,1,62.0,40.0,22.0,1492.0,611.0,-59.0,31.0,-8.0,39.0,82.3,11.5,6.3,3.0,0.75,2.25
18,4164,2022-02-09,21:45,2022,14,Premiership,Journée 26,1241,1323,Rangers FC,Hibernian FC,Rangers FC - Hibernian FC,2-0,2,0,0,61.0,56.0,5.0,1446.0,1201.0,-16.9,5.0,22.0,-17.0,49.6,24.9,25.5,1.6,1.08,0.52
17,4163,2022-02-09,21:45,2022,14,Premiership,Journée 26,6030,9934,Heart of Midlothian,Dundee,Heart of Midlothian - Dundee,1-2,1,2,2,72.0,64.0,8.0,1999.0,1618.0,-19.1,41.0,10.0,31.0,69.4,17.0,13.6,2.49,1.03,1.4600000000000002
16,4162,2022-02-09,21:45,2022,14,Premiership,Journée 26,943,9930,Dundee United,Motherwell,Dundee United - Motherwell,2-0,2,0,0,55.0,63.0,-8.0,1177.0,1516.0,-22.4,-21.0,-10.0,-11.0,33.6,29.9,36.5,1.02,1.08,-0.06000000000000005
15,4161,2022-02-09,21:45,2022,14,Premiership,Journée 26,9927,716,Aberdeen,Celtic,Aberdeen - Celtic,2-3,2,3,2,69.0,81.0,-12.0,1873.0,2506.0,-25.3,-25.0,57.0,-82.0,16.8,21.2,62.0,0.92,1.97,-1.0499999999999998
14,13232,2022-02-09,21:45,2022,25,Championship,Journée 31,9182,2748,Sheffield United,West Bromwich Albion,Sheffield United - West Bromwich Albion,2-0,2,0,0,49.0,75.0,-26.0,930.0,2157.0,-56.9,-14.0,-23.0,9.0,26.5,28.9,44.6,0.9,1.26,-0.36
