index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
101,373572,2022-04-12,00:00,2022,208,Primera C Metropolitana,10.066,Journée 9,6591,6594,Laferrere,Midland,Laferrere - Midland,,,,,30.0,13.0,17.0,387.0,194.0,-49.9,-35.0,-7.0,-28.0,38.6,31.6,29.8,1.03,0.87,0.16000000000000003
168,309646,2022-04-12,00:00,2022,2018,D1 Féminine Mexique - Clôture,6.103,Journée 9,121256,111654,Atl. San Luis,Puebla,Atl. San Luis - Puebla,,,,,,,,,,,,,,,,,,,
21,376670,2022-04-12,00:00,2022,1970,Tournoi de Transition Primera B Chili,17.471,Journée 8,66109,2600,Deportes Santa Cruz,Univ. Concepción,Deportes Santa Cruz - Univ. Concepción,,,,,42.0,58.0,-16.0,657.0,1300.0,-49.5,6.0,-9.0,15.0,40.7,26.9,32.4,1.34,1.16,0.18000000000000016
9,443773,2022-04-12,00:00,2022,46,Primera Division,31.250,Journée 8,5600,5951,Wanderers Montevideo,Club Deportivo Maldonado,Wanderers Montevideo - Club Deportivo Maldonado,,,,,61.0,39.0,22.0,1465.0,562.0,-61.6,-21.0,17.0,-38.0,58.1,22.9,19.0,1.8,0.92,0.88
169,309647,2022-04-12,00:00,2022,2018,D1 Féminine Mexique - Clôture,6.103,Journée 9,109360,109372,Toluca,Cruz Azul,Toluca - Cruz Azul,,,,,,,,,,,,,,,,,,,
170,309648,2022-04-12,00:00,2022,2018,D1 Féminine Mexique - Clôture,6.103,Journée 9,109345,121255,Guadalajara,FC Juárez,Guadalajara - FC Juárez,,,,,,,,,,,,,,,,,,,
13,365138,2022-04-12,00:10,2022,192,Primera Nacional B,24.020,Temporada Regular,20700,3064,Club Atlético Güemes,Belgrano,Club Atlético Güemes - Belgrano,,,,,16.0,74.0,-58.0,232.0,2134.0,-89.1,-39.0,-18.0,-21.0,8.0,19.2,72.8,0.47,1.94,-1.47
177,426232,2022-04-12,00:15,2022,195,D2 Paraguay,5.592,Journée 2,9288,4378,Club River Plate,Sportivo Trinidense,Club River Plate - Sportivo Trinidense,,,,,14.0,22.0,-8.0,198.0,286.0,-30.8,-30.0,21.0,-51.0,28.3,28.1,43.5,0.98,1.29,-0.31000000000000005
3,318420,2022-04-12,00:30,2022,42,Ouverture - Colombie,47.500,Temporada Regular,11716,1868,Jaguares FC,Once Caldas,Jaguares FC - Once Caldas,,,,,60.0,69.0,-9.0,1369.0,1864.0,-26.6,23.0,-27.0,50.0,48.3,27.1,24.6,1.41,0.92,0.4899999999999999
166,425927,2022-04-12,00:30,2022,2019,Sudamericano U20 Féminin,6.389,Fase de Grupos,109700,109701,Uruguay Sub 20,Bolivia Sub 20,Uruguay Sub 20 - Bolivia Sub 20,,,,,,,,,,,,,,,,,,,
20,335148,2022-04-12,00:30,2022,40,Première division Bolivie,20.250,Journée 8,6317,11372,Aurora,The Strongest,Aurora - The Strongest,,,,,29.0,60.0,-31.0,367.0,1399.0,-73.8,34.0,-39.0,73.0,48.1,26.2,25.7,1.47,1.0,0.47
37,387811,2022-04-12,01:00,2022,512,Brasileiro Serie C,15.197,Journée 1,16578,59902,Brasil de Pelotas,Manaus,Brasil de Pelotas - Manaus,,,,,33.0,44.0,-11.0,428.0,750.0,-42.9,-27.0,0.0,-27.0,29.8,30.3,40.0,0.92,1.12,-0.20000000000000007
205,294628,2022-04-12,01:00,2022,164,Championnat de Gambie ,3.750,Journée 15,5372,99463,GAMTEL,Marimoo,GAMTEL - Marimoo,,,,,11.0,10.0,1.0,158.0,151.0,-4.4,-28.0,7.0,-35.0,32.1,29.9,37.9,0.99,1.1,-0.1100000000000001
217,451150,2022-04-12,01:00,2022,1535,Championnat de Mauritanie,2.500,Journée 18,105039,145056,Kaédi,Gourel Sangue,Kaédi - Gourel Sangue,,,,,6.0,5.0,1.0,101.0,99.0,-2.0,-57.0,-12.0,-45.0,23.7,36.7,39.6,0.6,0.87,-0.27
5,384478,2022-04-12,01:00,2022,24,Brasileirão,45.296,Journée 1,1429,5544,EC Juventude,RB Bragantino,EC Juventude - RB Bragantino,,,,,51.0,53.0,-2.0,1000.0,1090.0,-8.3,-12.0,8.0,-20.0,39.1,27.9,33.1,1.24,1.12,0.11999999999999988
14,365146,2022-04-12,01:30,2022,192,Primera Nacional B,24.020,Temporada Regular,11929,16438,Dep. Santamarina,Estudiantes Río Cuarto,Dep. Santamarina - Estudiantes Río Cuarto,,,,,53.0,23.0,30.0,1059.0,299.0,-71.8,-50.0,-37.0,-13.0,43.0,35.4,21.6,0.95,0.58,0.37
171,309651,2022-04-12,02:00,2022,2018,D1 Féminine Mexique - Clôture,6.103,Journée 9,109373,109325,Santos Laguna,América,Santos Laguna - América,,,,,,,,,,,,,,,,,,,
116,452625,2022-04-12,02:00,2022,1719,Curaçao Sekshon Pagá,10.000,Temporada Regular,62735,62741,Centro Dominguito,Jong Colombia,Centro Dominguito - Jong Colombia,,,,,35.0,28.0,7.0,470.0,346.0,-26.4,-14.0,0.0,-14.0,70.6,29.4,0.0,,,
47,351121,2022-04-12,02:00,2022,43,Serie A Équateur,13.400,Fase 1,11703,5895,Aucas,Macará,Aucas - Macará,,,,,35.0,33.0,2.0,469.0,428.0,-8.7,9.0,-21.0,30.0,54.8,26.1,19.1,1.5,0.77,0.73
15,365152,2022-04-12,02:10,2022,192,Primera Nacional B,24.020,Temporada Regular,11960,6204,San Martín Tucumán,Indep. Rivadavia,San Martín Tucumán - Indep. Rivadavia,,,,,50.0,54.0,-4.0,939.0,1100.0,-14.6,-6.0,-7.0,1.0,44.2,27.8,28.1,1.32,0.99,0.33000000000000007
10,443772,2022-04-12,02:15,2022,46,Primera Division,31.250,Journée 8,11246,5949,Montevideo City Torque,Rentistas,Montevideo City Torque - Rentistas,,,,,38.0,42.0,-4.0,551.0,653.0,-15.6,12.0,19.0,-7.0,41.4,25.7,32.9,1.44,1.26,0.17999999999999994
