index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
14,354257,2022-02-15,01:30,2022,1780,Liga Única,5.083,Journée 2,9951,4388,Cobresal,Curicó Unido,Cobresal - Curicó Unido,2-3,2,3,2,65.0,55.0,10.0,1672.0,1157.0,-30.8,17.0,22.0,-5.0,59.1,21.0,19.9,2.05,1.1,0.9499999999999997
3,305424,2022-02-15,05:00,2022,141,Liga MX - Clôture ,47.647,Journée 5,10279,4346,Pachuca,Querétaro,Pachuca - Querétaro,2-2,2,2,1,75.0,68.0,7.0,2199.0,1814.0,-17.5,-10.0,-49.0,39.0,67.1,23.0,10.0,1.67,0.47,1.2
17,282478,2022-02-15,10:55,2022,54,A-League,11.346,Journée 24,18574,70,Melbourne City,Adelaide United,Melbourne City - Adelaide United,1-0,1,0,1,35.0,39.0,-4.0,467.0,568.0,-17.8,58.0,38.0,20.0,50.7,21.7,27.6,2.0,1.43,0.5700000000000001
15,7254,2022-02-15,17:30,2022,30,Championnat de République tchèque ,31.725,Journée 20,13174,10049,Zlin,Slovan Liberec,Zlin - Slovan Liberec,,,,,53.0,64.0,-11.0,1059.0,1582.0,-33.1,16.0,-18.0,34.0,46.1,26.7,27.2,1.42,1.03,0.3899999999999999
13,150296,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,10755,1954,Nuova Cosenza,Perugia,Nuova Cosenza - Perugia,,,,,44.0,55.0,-11.0,739.0,1139.0,-35.1,-16.0,9.0,-25.0,30.1,28.0,41.9,1.03,1.27,-0.24
12,96350,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,2482,47,Ternana Calcio,AC Monza,Ternana Calcio - AC Monza,,,,,54.0,30.0,24.0,1127.0,379.0,-66.4,52.0,5.0,47.0,76.2,13.8,10.0,2.88,0.99,1.89
11,96349,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,2376,2146,SPAL,Reggina,SPAL - Reggina,,,,,53.0,33.0,20.0,1063.0,439.0,-58.7,21.0,-3.0,24.0,66.5,18.7,14.8,2.26,0.97,1.2899999999999998
10,96348,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,6878,275,Pordenone,Cittadella,Pordenone - Cittadella,,,,,39.0,50.0,-11.0,560.0,972.0,-42.4,-10.0,-22.0,12.0,39.0,30.5,30.6,1.09,0.93,0.16000000000000003
9,96347,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,1973,2691,Pisa SC,Vicenza ,Pisa SC - Vicenza ,,,,,50.0,56.0,-6.0,962.0,1221.0,-21.2,13.0,7.0,6.0,42.2,26.0,31.7,1.43,1.2,0.22999999999999998
8,96344,2022-02-15,19:30,2022,89,Serie B,34.342,Journée 23,2625,1927,Cremonese,Parma,Cremonese - Parma,,,,,47.0,38.0,9.0,835.0,547.0,-34.5,31.0,36.0,-5.0,55.9,21.6,22.5,2.0,1.2,0.8
16,16980,2022-02-15,20:00,2022,92,Ligue 2,30.684,Journée 22,1257,2826,Grenoble,Niort,Grenoble - Niort,,,,,31.0,50.0,-19.0,405.0,970.0,-58.2,4.0,-9.0,13.0,37.0,28.1,34.9,1.19,1.15,0.040000000000000036
7,4149,2022-02-15,21:45,2022,14,Premiership,39.500,Journée 24,9927,2415,Aberdeen,St. Johnstone,Aberdeen - St. Johnstone,,,,,70.0,65.0,5.0,1893.0,1668.0,-11.9,-25.0,-34.0,9.0,51.0,30.9,18.0,1.19,0.58,0.61
6,13215,2022-02-15,21:45,2022,25,Championship,44.022,Journée 24,1694,2044,Millwall,Queens Park Rangers,Millwall - Queens Park Rangers,,,,,45.0,58.0,-13.0,782.0,1271.0,-38.5,2.0,47.0,-45.0,26.0,22.8,51.2,1.25,1.84,-0.5900000000000001
5,13156,2022-02-15,21:45,2022,25,Championship,44.022,Journée 24,9182,1341,Sheffield United,Hull City,Sheffield United - Hull City,,,,,66.0,50.0,16.0,1680.0,953.0,-43.3,-17.0,5.0,-22.0,51.1,25.3,23.7,1.58,0.99,0.5900000000000001
4,13138,2022-02-15,21:45,2022,25,Championship,44.022,Journée 24,636,9189,Cardiff City,Coventry City,Cardiff City - Coventry City,,,,,59.0,48.0,11.0,1334.0,861.0,-35.5,-34.0,-12.0,-22.0,42.4,30.5,27.0,1.14,0.84,0.29999999999999993
1,304978,2022-02-15,22:00,2022,107,Ligue des Champions,100.000,1/8 de finale,1924,2107,PSG,Real Madrid,PSG - Real Madrid,,,,,92.0,99.0,-7.0,3301.0,3874.0,-14.8,-12.0,13.0,-25.0,30.3,27.4,42.3,1.07,1.32,-0.25
0,304966,2022-02-15,22:00,2022,107,Ligue des Champions,100.000,1/8 de finale,4098,1633,Sporting CP,Man. City,Sporting CP - Man. City,,,,,87.0,94.0,-7.0,2961.0,3488.0,-15.1,-7.0,2.0,-9.0,34.5,28.2,37.4,1.13,1.19,-0.06000000000000005
2,5539,2022-02-15,22:15,2022,10,Premier League,87.336,Journée 18,1635,5652,Man. Utd,Brighton & Hove Albion,Man. Utd - Brighton & Hove Albion,,,,,90.0,73.0,17.0,3159.0,2054.0,-35.0,6.0,-4.0,10.0,81.3,12.8,5.9,2.66,0.59,2.0700000000000003
