index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
2,305523,2022-04-25,00:00,2022,141,Liga MX - Clôture ,55.588,Journée 16,705,9133,Cruz Azul,Atl. San Luis,Cruz Azul - Atl. San Luis,0-1,0,1,2,70.0,54.0,16.0,1927.0,1111.0,-42.3,-16.0,43.0,-59.0,48.7,23.1,28.1,1.79,1.31,0.48,wdlwl,dwlww
41,351143,2022-04-25,00:00,2022,43,Serie A Équateur,14.000,Fase 1,980,11703,CS Emelec,Aucas,CS Emelec - Aucas,1-0,1,0,0,49.0,33.0,16.0,897.0,438.0,-51.2,17.0,25.0,-8.0,58.3,20.9,20.8,2.07,1.16,0.9099999999999999,,
40,456723,2022-04-25,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 22,86015,1841,Rapide Oued Zem,Olympique Khouribga,Rapide Oued Zem - Olympique Khouribga,1-2,1,2,2,21.0,42.0,-21.0,280.0,669.0,-58.1,-30.0,18.0,-48.0,22.5,27.3,50.2,0.84,1.41,-0.57,dlwdl,dwddw
39,456722,2022-04-25,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 22,6431,6426,Difaâ El Jadida,Maghreb Fes,Difaâ El Jadida - Maghreb Fes,0-0,0,0,1,44.0,36.0,8.0,744.0,488.0,-34.4,-13.0,-35.0,22.0,54.3,28.1,17.6,1.36,0.64,0.7200000000000001,dldld,dwddd
7,318439,2022-04-25,01:10,2022,42,Ouverture - Colombie,48.500,Temporada Regular,1693,2255,Millonarios,Santa Fe,Millonarios - Santa Fe,2-1,2,1,0,73.0,78.0,-5.0,2068.0,2319.0,-10.8,-4.0,-16.0,12.0,47.4,27.8,24.8,1.35,0.89,0.4600000000000001,wlwlw,lwlll
45,354317,2022-04-25,02:00,2022,1780,Liga Única,5.458,Journée 11,9139,5587,Coquimbo Unido,Unión La Calera,Coquimbo Unido - Unión La Calera,3-2,3,2,0,46.0,51.0,-5.0,814.0,1003.0,-18.8,-4.0,11.0,-15.0,37.3,27.1,35.6,1.26,1.23,0.030000000000000027,llwdw,dlddl
3,305524,2022-04-25,02:00,2022,141,Liga MX - Clôture ,55.588,Journée 16,10274,10271,Santos Laguna,León,Santos Laguna - León,1-1,1,1,1,72.0,71.0,1.0,2024.0,1954.0,-3.5,0.0,-18.0,18.0,57.1,25.0,17.9,1.59,0.77,0.8200000000000001,wldld,dllld
42,351141,2022-04-25,02:30,2022,43,Serie A Équateur,14.000,Fase 1,5895,432,Macará,Barcelona SC,Macará - Barcelona SC,0-1,0,1,2,31.0,47.0,-16.0,408.0,853.0,-52.2,-19.0,-13.0,-6.0,30.4,30.4,39.2,0.93,1.1,-0.17000000000000004,dlldl,wwllw
8,318443,2022-04-25,03:15,2022,42,Ouverture - Colombie,48.500,Temporada Regular,5933,900,Alianza Petrolera,Deportes Tolima,Alianza Petrolera - Deportes Tolima,0-2,0,2,2,62.0,72.0,-10.0,1510.0,1993.0,-24.2,22.0,15.0,7.0,39.7,25.0,35.3,1.47,1.37,0.09999999999999987,wldwl,wwwlw
4,305525,2022-04-25,04:06,2022,141,Liga MX - Clôture ,55.588,Journée 16,5994,4346,Tijuana,Querétaro,Tijuana - Querétaro,2-2,2,2,1,70.0,67.0,3.0,1921.0,1774.0,-7.7,-18.0,-35.0,17.0,54.1,28.7,17.2,1.32,0.61,0.7100000000000001,ddlld,dldld
