index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
61,364971,2022-02-06,00:30,2022,46,Primera Division,Journée 1,891,1564,Defensor Sporting,Liverpool Montevideo,Defensor Sporting - Liverpool Montevideo,0-3,0,3,2,69.0,67.0,2.0,1875.0,1774.0,-5.4,-25.0,7.0,-32.0,38.2,29.6,32.1,1.13,1.01,0.11999999999999988
27,305409,2022-02-06,01:00,2022,141,Liga MX - Clôture ,Journée 4,5151,10279,Necaxa,Pachuca,Necaxa - Pachuca,1-3,1,3,2,65.0,75.0,-10.0,1631.0,2189.0,-25.5,-29.0,27.0,-56.0,20.6,25.1,54.3,0.87,1.59,-0.7200000000000001
49,354245,2022-02-06,01:30,2022,1780,Liga Única,Journée 1,9139,2597,Coquimbo Unido,U. Católica,Coquimbo Unido - U. Católica,2-3,2,3,2,53.0,81.0,-28.0,1069.0,2500.0,-57.2,-21.0,0.0,-21.0,12.7,19.9,67.4,0.75,2.03,-1.2799999999999998
28,305410,2022-02-06,03:00,2022,141,Liga MX - Clôture ,Journée 4,10276,9133,América,Atl. San Luis,América - Atl. San Luis,2-3,2,3,2,79.0,54.0,25.0,2409.0,1109.0,-54.0,-5.0,20.0,-25.0,74.8,15.9,9.4,2.44,0.74,1.7
29,305412,2022-02-06,05:06,2022,141,Liga MX - Clôture ,Journée 4,5994,2035,Tijuana,Pumas UNAM,Tijuana - Pumas UNAM,1-0,1,0,0,70.0,72.0,-2.0,1924.0,1999.0,-3.8,-8.0,5.0,-13.0,42.5,27.6,29.9,1.31,1.05,0.26
77,282416,2022-02-06,07:05,2022,54,A-League,Journée 13,2744,137995,Wellington Phoenix,Macarthur FC,Wellington Phoenix - Macarthur FC,3-1,3,1,0,27.0,50.0,-23.0,344.0,969.0,-64.5,38.0,-27.0,65.0,55.7,23.8,20.5,1.72,0.94,0.78
30,2511,2022-02-06,13:15,2022,9,Eredivisie,Journée 21,1135,2378,Feyenoord,Sparta Rotterdam,Feyenoord - Sparta Rotterdam,4-0,4,0,0,83.0,66.0,17.0,2653.0,1703.0,-35.8,9.0,9.0,0.0,73.8,15.8,10.5,2.52,0.85,1.67
70,9075,2022-02-06,13:30,2022,128,Ekstraklasa,Journée 20,13363,18073,Warta Poznan,Górnik Łęczna,Warta Poznan - Górnik Łęczna,1-1,1,1,1,16.0,42.0,-26.0,232.0,654.0,-64.5,-25.0,9.0,-34.0,23.3,27.4,49.3,0.86,1.39,-0.5299999999999999
7,48996,2022-02-06,13:30,2022,7,Serie A,Journée 24,339,609,Atalanta,Cagliari,Atalanta - Cagliari,1-2,1,2,2,74.0,73.0,1.0,2120.0,2056.0,-3.0,-2.0,-9.0,7.0,54.1,25.5,20.3,1.55,0.84,0.7100000000000001
20,16125,2022-02-06,14:00,2022,16,Ligue 1,Journée 23,1586,1544,Lorient,Lens,Lorient - Lens,2-0,2,0,0,72.0,59.0,13.0,2011.0,1363.0,-32.2,-7.0,55.0,-62.0,48.8,22.8,28.4,1.84,1.36,0.48
4,324793,2022-02-06,14:00,2022,139,FA Cup,1/16,3845,636,Liverpool,Cardiff City,Liverpool - Cardiff City,3-1,3,1,0,89.0,58.0,31.0,3131.0,1275.0,-59.3,8.0,39.0,-31.0,81.5,11.4,7.1,3.16,0.89,2.27
52,3237,2022-02-06,14:30,2022,12,Pro League,Journée 26,6200,1431,Club Brugge,KAA Gent,Club Brugge - KAA Gent,1-2,1,2,2,73.0,73.0,0.0,2043.0,2061.0,-0.9,-2.0,-21.0,19.0,53.1,26.8,20.1,1.45,0.78,0.6699999999999999
58,16425,2022-02-06,14:30,2022,93,2. Liga,Journée 21,2316,1292,Dynamo Dresden,Hansa Rostock,Dynamo Dresden - Hansa Rostock,1-4,1,4,2,50.0,42.0,8.0,951.0,667.0,-29.9,45.0,96.0,-51.0,51.1,19.9,29.0,2.31,1.72,0.5900000000000001
62,364970,2022-02-06,14:30,2022,46,Primera Division,Journée 1,63481,5949,Albion FC,Rentistas,Albion FC - Rentistas,3-5,3,5,2,41.0,45.0,-4.0,625.0,762.0,-18.0,-6.0,-1.0,-5.0,42.3,27.7,30.0,1.31,1.05,0.26
64,63324,2022-02-06,14:30,2022,20,Liga 1,Journée 24,17047,1037,FC Arges,FC Academica Clinceni,FC Arges - FC Academica Clinceni,1-0,1,0,0,30.0,41.0,-11.0,386.0,621.0,-37.8,12.0,-9.0,21.0,45.9,26.8,27.3,1.41,1.02,0.3899999999999999
57,16419,2022-02-06,14:30,2022,93,2. Liga,Journée 21,2914,1166,Holstein Kiel,Fortuna Düsseldorf,Holstein Kiel - Fortuna Düsseldorf,1-0,1,0,0,43.0,53.0,-10.0,698.0,1053.0,-33.7,22.0,59.0,-37.0,31.0,22.4,46.6,1.49,1.86,-0.3700000000000001
