index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
65,308031,2022-03-06,00:30,2022,69,MLS,34.354,Journée 2,11886,819,San Jose Earthquakes,Columbus Crew,San Jose Earthquakes - Columbus Crew,,,,,70.0,70.0,0.0,1891.0,1905.0,-0.7,17.0,-28.0,45.0,62.2,23.0,14.8,1.74,0.71,1.03
71,308037,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,5609,59736,Vancouver Whitecaps,New York City,Vancouver Whitecaps - New York City,,,,,71.0,66.0,5.0,1971.0,1686.0,-14.5,1.0,1.0,0.0,54.8,24.3,20.9,1.67,0.93,0.7399999999999999
26,305456,2022-03-06,01:00,2022,141,Liga MX - Clôture ,50.956,Journée 9,4346,731,Querétaro,Atlas Guadalajara,Querétaro - Atlas Guadalajara,,,,,68.0,67.0,1.0,1817.0,1748.0,-3.8,-26.0,31.0,-57.0,33.5,27.6,38.9,1.15,1.26,-0.1100000000000001
70,308036,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,2119,3992,Real Salt Lake,Seattle Sounders,Real Salt Lake - Seattle Sounders,,,,,73.0,74.0,-1.0,2052.0,2120.0,-3.2,15.0,6.0,9.0,50.4,25.1,24.5,1.59,1.03,0.56
69,308035,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,818,89624,Colorado Rapids,Atlanta United,Colorado Rapids - Atlanta United,,,,,71.0,65.0,6.0,1931.0,1651.0,-14.5,36.0,14.0,22.0,64.4,19.2,16.5,2.24,1.05,1.1900000000000002
68,308034,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,17861,109669,Minnesota United,Nashville SC,Minnesota United - Nashville SC,,,,,54.0,50.0,4.0,1095.0,971.0,-11.3,-3.0,18.0,-21.0,45.8,25.6,28.6,1.51,1.13,0.3800000000000001
67,308033,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,758,17824,Chicago Fire,Orlando City,Chicago Fire - Orlando City,,,,,67.0,57.0,10.0,1774.0,1247.0,-29.7,-4.0,10.0,-14.0,53.4,24.2,22.4,1.68,1.0,0.6799999999999999
66,308032,2022-03-06,01:00,2022,69,MLS,34.354,Journée 2,84193,888,Cincinnati,DC United,Cincinnati - DC United,,,,,48.0,71.0,-23.0,875.0,1933.0,-54.7,-13.0,40.0,-53.0,13.8,18.2,68.0,0.94,2.3,-1.3599999999999999
40,318375,2022-03-06,01:10,2022,42,Ouverture - Colombie,45.000,Temporada Regular,906,207,Deportivo Cali,América de Cali,Deportivo Cali - América de Cali,,,,,71.0,64.0,7.0,1972.0,1619.0,-17.9,-13.0,-23.0,10.0,56.3,26.4,17.2,1.48,0.68,0.7999999999999999
62,354278,2022-03-06,01:30,2022,1780,Liga Única,5.208,Journée 5,9140,4388,Everton Viña del Mar,Curicó Unido,Everton Viña del Mar - Curicó Unido,,,,,54.0,55.0,-1.0,1127.0,1167.0,-3.4,-25.0,28.0,-53.0,31.1,27.9,41.1,1.07,1.27,-0.19999999999999996
72,308038,2022-03-06,02:30,2022,69,MLS,34.354,Journée 2,137770,1589,Charlotte FC,LA Galaxy,Charlotte FC - LA Galaxy,,,,,67.0,78.0,-11.0,1750.0,2331.0,-24.9,0.0,37.0,-37.0,0.0,18.0,82.0,,,
27,305457,2022-03-06,03:06,2022,141,Liga MX - Clôture ,50.956,Journée 9,10275,10276,Monterrey,América,Monterrey - América,,,,,75.0,79.0,-4.0,2182.0,2397.0,-9.0,-32.0,-12.0,-20.0,31.8,33.2,34.9,0.86,0.91,-0.050000000000000044
41,318373,2022-03-06,03:15,2022,42,Ouverture - Colombie,45.000,Temporada Regular,11324,11319,La Equidad,Patriotas Boyacá,La Equidad - Patriotas Boyacá,,,,,65.0,66.0,-1.0,1635.0,1723.0,-5.1,-41.0,-26.0,-15.0,33.7,35.7,30.5,0.81,0.76,0.050000000000000044
29,305459,2022-03-06,05:00,2022,141,Liga MX - Clôture ,50.956,Journée 9,1262,10274,Chivas Guadalajara,Santos Laguna,Chivas Guadalajara - Santos Laguna,,,,,72.0,72.0,0.0,2025.0,2009.0,-0.8,2.0,-6.0,8.0,49.1,26.7,24.3,1.45,0.93,0.5199999999999999
