index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
28,305420,2022-02-13,01:00,2022,141,Liga MX - Clôture ,47.647,Journée 5,9133,10277,Atl. San Luis,Toluca,Atl. San Luis - Toluca,,,,,54.0,76.0,-22.0,1110.0,2228.0,-50.2,-29.0,-6.0,-23.0,17.1,24.2,58.7,0.77,1.66,-0.8899999999999999
69,379174,2022-02-13,01:00,2022,46,Primera Division,31.250,Journée 2,5949,1770,Rentistas,Nacional,Rentistas - Nacional,,,,,45.0,69.0,-24.0,762.0,1875.0,-59.4,-33.0,-32.0,-1.0,22.3,30.3,47.4,0.72,1.2,-0.48
29,305425,2022-02-13,01:00,2022,141,Liga MX - Clôture ,47.647,Journée 5,1262,4348,Chivas Guadalajara,Tigres UANL,Chivas Guadalajara - Tigres UANL,,,,,73.0,78.0,-5.0,2047.0,2369.0,-13.6,3.0,-6.0,9.0,41.5,27.8,30.7,1.29,1.06,0.22999999999999998
42,318330,2022-02-13,01:10,2022,42,Ouverture - Colombie,43.000,Temporada Regular,1868,11325,Once Caldas,Junior,Once Caldas - Junior,,,,,70.0,74.0,-4.0,1878.0,2117.0,-11.3,-24.0,-26.0,2.0,38.2,32.9,28.9,0.98,0.81,0.16999999999999993
56,354252,2022-02-13,01:30,2022,1780,Liga Única,5.083,Journée 2,4391,9947,Univ de Chile,Antofagasta,Univ de Chile - Antofagasta,,,,,77.0,66.0,11.0,2274.0,1685.0,-25.9,-38.0,-29.0,-9.0,49.5,30.8,19.7,1.19,0.63,0.5599999999999999
30,305421,2022-02-13,03:00,2022,141,Liga MX - Clôture ,47.647,Journée 5,705,5151,Cruz Azul,Necaxa,Cruz Azul - Necaxa,,,,,73.0,64.0,9.0,2079.0,1608.0,-22.7,9.0,-3.0,12.0,61.1,21.7,17.2,1.92,0.91,1.0099999999999998
43,318338,2022-02-13,03:15,2022,42,Ouverture - Colombie,43.000,Temporada Regular,11323,207,Águilas Doradas,América de Cali,Águilas Doradas - América de Cali,,,,,68.0,64.0,4.0,1807.0,1589.0,-12.1,-33.0,-5.0,-28.0,38.9,32.0,29.0,1.02,0.84,0.18000000000000005
31,305422,2022-02-13,05:00,2022,141,Liga MX - Clôture ,47.647,Journée 5,10274,10276,Santos Laguna,América,Santos Laguna - América,,,,,73.0,79.0,-6.0,2075.0,2401.0,-13.6,-3.0,-7.0,4.0,39.7,28.5,31.8,1.21,1.05,0.15999999999999992
89,282422,2022-02-13,08:45,2022,54,A-League,11.346,Journée 14,719,1953,Central Coast Mariners,Perth Glory,Central Coast Mariners - Perth Glory,,,,,32.0,35.0,-3.0,425.0,465.0,-8.6,3.0,-8.0,11.0,49.0,26.9,24.0,1.42,0.91,0.5099999999999999
90,282423,2022-02-13,09:45,2022,54,A-League,11.346,Journée 14,4087,137995,Brisbane Roar,Macarthur FC,Brisbane Roar - Macarthur FC,,,,,37.0,50.0,-13.0,527.0,970.0,-45.7,-17.0,-22.0,5.0,33.2,31.3,35.5,0.95,1.0,-0.050000000000000044
49,50040,2022-02-13,12:30,2022,37,Süper Lig,38.428,Journée 25,2343,12925,Sivasspor,Yeni Malatyaspor,Sivasspor - Yeni Malatyaspor,,,,,60.0,43.0,17.0,1401.0,710.0,-49.3,-12.0,-37.0,25.0,66.4,22.4,11.2,1.74,0.55,1.19
34,2522,2022-02-13,13:15,2022,9,Eredivisie,46.471,Journée 22,2378,2754,Sparta Rotterdam,Willem II,Sparta Rotterdam - Willem II,,,,,66.0,61.0,5.0,1722.0,1440.0,-16.4,-4.0,16.0,-20.0,47.9,24.9,27.2,1.59,1.14,0.4500000000000002
33,2517,2022-02-13,13:15,2022,9,Eredivisie,46.471,Journée 22,1242,406,Go Ahead Eagles,AZ Alkmaar,Go Ahead Eagles - AZ Alkmaar,,,,,58.0,80.0,-22.0,1284.0,2488.0,-48.4,6.0,-5.0,11.0,25.5,24.5,50.0,1.1,1.64,-0.5399999999999998
8,49011,2022-02-13,13:30,2022,7,Serie A,69.868,Journée 25,1692,2215,Milan,Sampdoria,Milan - Sampdoria,,,,,85.0,73.0,12.0,2802.0,2077.0,-25.9,3.0,-3.0,6.0,65.8,19.7,14.6,2.11,0.88,1.23
82,8019,2022-02-13,13:30,2022,128,Ekstraklasa,23.088,Journée 21,13364,1239,Wisła Płock,Piast Gliwice,Wisła Płock - Piast Gliwice,,,,,44.0,48.0,-4.0,741.0,879.0,-15.7,19.0,-5.0,24.0,52.5,24.5,23.0,1.66,1.01,0.6499999999999999
21,16182,2022-02-13,14:00,2022,16,Ligue 1,61.368,Journée 24,1713,1586,Monaco,Lorient,Monaco - Lorient,,,,,87.0,73.0,14.0,2907.0,2050.0,-29.5,-8.0,-13.0,5.0,70.6,19.3,10.2,2.02,0.61,1.4100000000000001
80,32285,2022-02-13,14:15,2022,205,A PFG,25.038,Journée 4,86651,6474,Arda Kardzhali,Ludogorets,Arda Kardzhali - Ludogorets,,,,,41.0,64.0,-23.0,620.0,1575.0,-60.6,22.0,37.0,-15.0,22.6,20.3,57.1,1.32,2.19,-0.8699999999999999
58,3247,2022-02-13,14:30,2022,12,Pro League,32.360,Journée 27,9785,2425,Genk,Standard de Liège,Genk - Standard de Liège,,,,,71.0,71.0,0.0,1939.0,1940.0,-0.1,8.0,13.0,-5.0,48.7,24.8,26.5,1.61,1.12,0.49
63,16432,2022-02-13,14:30,2022,93,2. Liga,31.949,Journée 22,1291,5664,Hannover 96,Darmstadt 98,Hannover 96 - Darmstadt 98,,,,,63.0,61.0,2.0,1555.0,1422.0,-8.6,-15.0,83.0,-98.0,28.4,23.6,48.0,1.28,1.73,-0.44999999999999996
64,16435,2022-02-13,14:30,2022,93,2. Liga,31.949,Journée 22,1073,2446,Ingolstadt 04,Sandhausen,Ingolstadt 04 - Sandhausen,,,,,64.0,47.0,17.0,1577.0,843.0,-46.5,-9.0,44.0,-53.0,46.2,23.5,30.2,1.72,1.35,0.3699999999999999
