index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
16,456717,2022-04-27,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 21,6432,6429,Olympic Safi,Wydad Casablanca,Olympic Safi - Wydad Casablanca,,,,,38.0,50.0,-12.0,549.0,951.0,-42.3,-31.0,10.0,-41.0,23.7,28.5,47.9,0.83,1.31,-0.4800000000000001,dlwlw,dwldw
4,438598,2022-04-27,00:15,2022,204,Copa Libertadores,56.250,Grupo A,112419,3606,Independiente Petrolero,Dep. Táchira,Independiente Petrolero - Dep. Táchira,,,,,34.0,50.0,-16.0,454.0,955.0,-52.5,45.0,8.0,37.0,47.6,23.1,29.3,1.78,1.36,0.41999999999999993,dl,ld
5,438610,2022-04-27,00:15,2022,204,Copa Libertadores,56.250,Grupo A,1553,374,Libertad,Athletico Paranaense,Libertad - Athletico Paranaense,,,,,46.0,77.0,-31.0,804.0,2262.0,-64.5,28.0,-24.0,52.0,29.5,25.1,45.5,1.2,1.55,-0.3500000000000001,dw,dw
6,438622,2022-04-27,00:15,2022,204,Copa Libertadores,56.250,Grupo A,600,1770,Vélez Sarsfield,Nacional,Vélez Sarsfield - Nacional,,,,,77.0,70.0,7.0,2282.0,1918.0,-16.0,14.0,-9.0,23.0,64.7,20.4,14.8,2.02,0.85,1.17,ld,ld
7,438623,2022-04-27,00:15,2022,204,Copa Libertadores,56.250,Grupo A,1010,5544,Estudiantes La Plata,RB Bragantino,Estudiantes La Plata - RB Bragantino,,,,,82.0,53.0,29.0,2571.0,1085.0,-57.8,23.0,21.0,2.0,84.7,9.9,5.4,3.29,0.78,2.51,wd,wd
20,354316,2022-04-27,02:00,2022,1780,Liga Única,5.458,Journée 11,2591,9951,Unión Española,Cobresal,Unión Española - Cobresal,,,,,70.0,63.0,7.0,1898.0,1536.0,-19.1,3.0,-2.0,5.0,58.7,23.2,18.0,1.76,0.86,0.9,wlwww,wwlll
9,438646,2022-04-27,02:30,2022,204,Copa Libertadores,56.250,Grupo A,836,583,Corinthians,Boca Juniors,Corinthians - Boca Juniors,,,,,83.0,84.0,-1.0,2654.0,2726.0,-2.6,-6.0,-20.0,14.0,51.2,27.6,21.2,1.39,0.79,0.5999999999999999,lw,lw
8,438634,2022-04-27,02:30,2022,204,Copa Libertadores,56.250,Grupo A,16078,3881,Independiente del Valle,Atl. Mineiro,Independiente del Valle - Atl. Mineiro,,,,,48.0,83.0,-35.0,887.0,2648.0,-66.5,13.0,6.0,7.0,18.6,20.3,61.1,1.09,2.13,-1.0399999999999998,wd,wd
10,438682,2022-04-27,02:30,2022,204,Copa Libertadores,56.250,Grupo A,6563,2392,Talleres Córdoba,Sporting Cristal,Talleres Córdoba - Sporting Cristal,,,,,59.0,40.0,19.0,1337.0,611.0,-54.3,-7.0,49.0,-56.0,46.6,23.2,30.2,1.76,1.38,0.3800000000000001,wl,ll
11,318442,2022-04-27,02:40,2022,42,Ouverture - Colombie,48.500,Temporada Regular,5944,11319,Deportivo Pasto,Patriotas Boyacá,Deportivo Pasto - Patriotas Boyacá,,,,,66.0,67.0,-1.0,1680.0,1768.0,-5.0,-25.0,-25.0,0.0,41.0,32.1,26.9,1.05,0.79,0.26,ddwdw,wllwd
