index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
9,456716,2022-04-26,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 21,5634,16479,Raja Casablanca,Mouloudia Oujda,Raja Casablanca - Mouloudia Oujda,,,,,49.0,25.0,24.0,933.0,311.0,-66.7,-17.0,14.0,-31.0,45.7,25.3,29.0,1.53,1.17,0.3600000000000001,ddwww,wwldl
4,384501,2022-04-26,01:00,2022,24,Brasileirão,45.888,Journée 3,3880,1245,Avaí,Goiás EC,Avaí - Goiás EC,,,,,65.0,69.0,-4.0,1629.0,1868.0,-12.8,-17.0,-11.0,-6.0,37.6,30.3,32.0,1.08,0.97,0.1100000000000001,wl,ld
10,351145,2022-04-26,02:00,2022,43,Serie A Équateur,14.000,Fase 1,5894,140902,Guayaquil City,Cumbayá,Guayaquil City - Cumbayá,,,,,34.0,24.0,10.0,460.0,306.0,-33.5,-5.0,3.0,-8.0,48.3,26.2,25.5,1.48,1.0,0.48,,
11,456351,2022-04-26,16:00,2022,386,Super Liga,11.071,Ronda de Descenso,19261,13472,Kolubara,Novi Pazar,Kolubara - Novi Pazar,,,,,18.0,23.0,-5.0,250.0,299.0,-16.4,13.0,-7.0,20.0,52.0,25.1,22.9,1.59,0.96,0.6300000000000001,ldlww,wwlwd
6,418310,2022-04-26,18:30,2022,11,Bundesliga,25.300,Ronda Descenso,9776,6362,Ried,Admira,Ried - Admira,,,,,58.0,58.0,0.0,1307.0,1309.0,-0.2,5.0,73.0,-68.0,33.1,23.6,43.3,1.44,1.68,-0.24,lwdll,dddwl
7,418311,2022-04-26,18:30,2022,11,Bundesliga,25.300,Ronda Descenso,12367,193,Hartberg,Rheindorf Altach,Hartberg - Rheindorf Altach,,,,,42.0,61.0,-19.0,666.0,1426.0,-53.3,-12.0,-13.0,1.0,29.4,27.0,43.6,1.08,1.37,-0.29000000000000004,dldlw,wdwdl
8,418312,2022-04-26,18:30,2022,11,Bundesliga,25.300,Ronda Descenso,12423,1524,Swarovski Tirol,LASK,Swarovski Tirol - LASK,,,,,45.0,51.0,-6.0,767.0,980.0,-21.7,34.0,13.0,21.0,46.9,24.0,29.1,1.68,1.28,0.3999999999999999,dwlww,dlddw
12,456323,2022-04-26,18:30,2022,386,Super Liga,11.071,Ronda de Descenso,13464,13483,Radnicki Nis,Vojvodina Novi Sad,Radnicki Nis - Vojvodina Novi Sad,,,,,34.0,44.0,-10.0,456.0,750.0,-39.2,-7.0,-5.0,-2.0,37.7,28.0,34.3,1.21,1.14,0.07000000000000006,dlldw,llwwl
13,456350,2022-04-26,18:30,2022,386,Super Liga,11.071,Ronda de Descenso,17390,18074,Mladost Lučani,Radnički Kragujevac,Mladost Lučani - Radnički Kragujevac,,,,,35.0,18.0,17.0,470.0,250.0,-46.8,0.0,-7.0,7.0,52.2,25.9,21.9,1.52,0.88,0.64,ddwdd,dwldl
5,336287,2022-04-26,19:00,2022,22,Allsvenskan,34.375,Temporada Regular,1439,1360,Kalmar,Norrköping,Kalmar - Norrköping,,,,,64.0,67.0,-3.0,1583.0,1760.0,-10.1,-7.0,10.0,-17.0,36.8,27.9,35.2,1.2,1.16,0.040000000000000036,lwwl,llld
1,13173,2022-04-26,20:45,2022,25,Championship,46.467,Journée 27,436,508,Barnsley,Blackpool,Barnsley - Blackpool,,,,,49.0,36.0,13.0,899.0,499.0,-44.5,-17.0,75.0,-92.0,33.8,24.0,42.1,1.42,1.61,-0.19000000000000017,dldll,ldlwd
2,13261,2022-04-26,20:45,2022,25,Championship,46.467,Journée 27,2453,80,Swansea City,AFC Bournemouth,Swansea City - AFC Bournemouth,,,,,75.0,67.0,8.0,2178.0,1759.0,-19.2,-21.0,-9.0,-12.0,48.0,27.7,24.3,1.37,0.89,0.4800000000000001,wwddd,lddwd
3,13319,2022-04-26,20:45,2022,25,Championship,46.467,Journée 27,1183,1825,Fulham,Nottingham Forest,Fulham - Nottingham Forest,,,,,62.0,57.0,5.0,1472.0,1259.0,-14.5,41.0,27.0,14.0,59.0,20.1,21.0,2.2,1.25,0.9500000000000002,wllwd,wwlww
0,456930,2022-04-26,21:00,2022,107,Ligue des Champions,95.000,Demi-finales,1633,2107,Man. City,Real Madrid,Man. City - Real Madrid,,,,,94.0,98.0,-4.0,3531.0,3865.0,-8.6,21.0,7.0,14.0,47.1,25.2,27.7,1.56,1.13,0.43000000000000016,,
