index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
19,305491,2022-04-09,02:00,2022,141,Liga MX - Clôture ,53.603,Journée 13,2027,2035,Puebla,Pumas UNAM,Puebla - Pumas UNAM,,,,,67.0,71.0,-4.0,1757.0,1936.0,-9.2,-11.0,0.0,-11.0,37.6,29.1,33.3,1.14,1.06,0.07999999999999985
125,351124,2022-04-09,02:00,2022,43,Serie A Équateur,13.400,Fase 1,5583,62698,Técnico Universitario,Gualaceo,Técnico Universitario - Gualaceo,,,,,31.0,29.0,2.0,394.0,362.0,-8.1,-16.0,15.0,-31.0,37.3,28.0,34.7,1.2,1.15,0.050000000000000044
28,318419,2022-04-09,03:00,2022,42,Ouverture - Colombie,47.500,Temporada Regular,1693,11324,Millonarios,La Equidad,Millonarios - La Equidad,,,,,72.0,66.0,6.0,2035.0,1712.0,-15.9,-16.0,-14.0,-2.0,52.4,26.9,20.7,1.44,0.79,0.6499999999999999
20,305492,2022-04-09,04:00,2022,141,Liga MX - Clôture ,53.603,Journée 13,137142,705,Mazatlán,Cruz Azul,Mazatlán - Cruz Azul,,,,,60.0,71.0,-11.0,1384.0,1946.0,-28.9,18.0,1.0,17.0,41.2,25.7,33.1,1.44,1.26,0.17999999999999994
133,282405,2022-04-09,06:05,2022,54,A-League,12.500,Journée 11,121852,2744,Western United FC,Wellington Phoenix,Western United FC - Wellington Phoenix,,,,,38.0,28.0,10.0,538.0,347.0,-35.5,0.0,56.0,-56.0,41.1,24.1,34.9,1.59,1.45,0.14000000000000012
123,356511,2022-04-09,07:00,2022,59,K-League,14.955,Journée 9,10069,1412,Seongnam FC,Jeonbuk Hyundai Motors,Seongnam FC - Jeonbuk Hyundai Motors,,,,,45.0,52.0,-7.0,775.0,1042.0,-25.6,-34.0,23.0,-57.0,22.9,27.8,49.3,0.83,1.36,-0.5300000000000001
134,282474,2022-04-09,09:05,2022,54,A-League,12.500,Journée 11,15211,4087,Western Sydney Wanderers,Brisbane Roar,Western Sydney Wanderers - Brisbane Roar,,,,,42.0,38.0,4.0,657.0,555.0,-15.5,-36.0,35.0,-71.0,26.8,27.9,45.3,0.95,1.33,-0.3800000000000001
124,356513,2022-04-09,09:30,2022,59,K-League,14.955,Journée 9,2579,880,Ulsan Hyundai,Daegu FC,Ulsan Hyundai - Daegu FC,,,,,45.0,31.0,14.0,755.0,394.0,-47.8,14.0,24.0,-10.0,55.3,22.4,22.4,1.89,1.13,0.76
136,282476,2022-04-09,11:45,2022,54,A-League,12.500,Journée 11,719,2455,Central Coast Mariners,Sydney,Central Coast Mariners - Sydney,,,,,32.0,40.0,-8.0,413.0,605.0,-31.7,20.0,23.0,-3.0,40.1,24.8,35.1,1.5,1.39,0.1100000000000001
135,282475,2022-04-09,11:45,2022,54,A-League,12.500,Journée 11,1671,18574,Melbourne Victory,Melbourne City,Melbourne Victory - Melbourne City,,,,,42.0,37.0,5.0,655.0,511.0,-22.0,23.0,89.0,-66.0,40.9,21.5,37.6,1.91,1.83,0.07999999999999985
95,352771,2022-04-09,12:00,2022,58,Championnat J1,26.287,Journée 8,1450,1446,Kawasaki Frontale,Kashiwa Reysol,Kawasaki Frontale - Kashiwa Reysol,,,,,41.0,43.0,-2.0,639.0,709.0,-9.9,3.0,-8.0,11.0,48.7,26.5,24.7,1.45,0.95,0.5
54,50109,2022-04-09,12:30,2022,37,Süper Lig,39.947,Journée 32,12946,10062,Fatih Karagümrük,Kasimpasa,Fatih Karagümrük - Kasimpasa,,,,,34.0,67.0,-33.0,461.0,1775.0,-74.0,80.0,14.0,66.0,29.5,20.0,50.5,1.74,2.28,-0.5399999999999998
42,6666,2022-04-09,13:00,2022,27,Premier League Russie,43.200,Journée 24,1147,865,FK Khimki,CSKA Moskva,FK Khimki - CSKA Moskva,,,,,46.0,80.0,-34.0,820.0,2453.0,-66.6,-40.0,-7.0,-33.0,9.0,19.8,71.2,0.52,1.93,-1.41
41,6663,2022-04-09,13:00,2022,27,Premier League Russie,43.200,Journée 24,111701,926,FK Nizhny Novgorod,Dinamo Moskva,FK Nizhny Novgorod - Dinamo Moskva,,,,,47.0,59.0,-12.0,845.0,1330.0,-36.5,-4.0,87.0,-91.0,18.0,18.7,63.3,1.2,2.37,-1.1700000000000002
76,16495,2022-04-09,13:30,2022,93,2. Liga,33.364,Journée 29,1062,1291,Erzgebirge Aue,Hannover 96,Erzgebirge Aue - Hannover 96,,,,,51.0,63.0,-12.0,980.0,1521.0,-35.6,-28.0,41.0,-69.0,18.5,23.3,58.3,0.88,1.76,-0.88
75,16494,2022-04-09,13:30,2022,93,2. Liga,33.364,Journée 29,2294,4094,Schalke 04,Heidenheim,Schalke 04 - Heidenheim,,,,,83.0,51.0,32.0,2684.0,991.0,-63.1,65.0,5.0,60.0,95.2,3.5,1.3,4.66,0.62,4.04
0,5659,2022-04-09,13:30,2022,10,Premier League,90.789,Journée 32,1017,1635,Everton,Man. Utd,Everton - Man. Utd,,,,,83.0,92.0,-9.0,2684.0,3332.0,-19.4,-23.0,5.0,-28.0,26.8,28.1,45.1,0.94,1.31,-0.3700000000000001
74,16490,2022-04-09,13:30,2022,93,2. Liga,33.364,Journée 29,2418,2746,FC St. Pauli,Werder Bremen,FC St. Pauli - Werder Bremen,,,,,54.0,75.0,-21.0,1110.0,2183.0,-49.2,75.0,72.0,3.0,25.8,17.5,56.7,1.93,2.82,-0.8899999999999999
117,143426,2022-04-09,13:45,2022,182,Superliga Albanie,15.528,Temporada Regular,9082,9092,Kukësi,KF Egnatia,Kukësi - KF Egnatia,,,,,45.0,12.0,33.0,762.0,181.0,-76.2,8.0,-13.0,21.0,63.0,21.7,15.2,1.88,0.8,1.0799999999999998
30,13350,2022-04-09,13:45,2022,25,Championship,45.856,Journée 41,9182,80,Sheffield United,AFC Bournemouth,Sheffield United - AFC Bournemouth,,,,,51.0,67.0,-16.0,999.0,1732.0,-42.3,23.0,-11.0,34.0,44.2,25.7,30.1,1.48,1.18,0.30000000000000004
64,96445,2022-04-09,14:00,2022,89,Serie B,36.513,Journée 34,822,275,Como,Cittadella,Como - Cittadella,,,,,42.0,51.0,-9.0,648.0,981.0,-33.9,-2.0,-28.0,26.0,46.4,29.5,24.1,1.24,0.8,0.43999999999999995
5,21082,2022-04-09,14:00,2022,1,Liga Santander,84.276,Journée 31,603,486,Cádiz,Real Betis,Cádiz - Real Betis,,,,,53.0,76.0,-23.0,1084.0,2208.0,-50.9,-29.0,66.0,-95.0,6.7,12.0,81.2,0.76,2.93,-2.17
