index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
23,214782,2021-01-09,03:30,2021,141,Liga MX - Clôture ,52.279,Guard1anes,2027,1262,Puebla,Chivas Guadalajara,Puebla - Chivas Guadalajara,1-1,1,1,1,66.0,73.0,-7.0,1714.0,2037.0,-15.9,1.0,0.0,1.0,40.1,27.7,32.3,1.27,1.11,0.15999999999999992
24,214781,2021-01-09,05:06,2021,141,Liga MX - Clôture ,52.279,Guard1anes,5994,2035,Tijuana,Pumas UNAM,Tijuana - Pumas UNAM,0-0,0,0,1,68.0,72.0,-4.0,1796.0,1991.0,-9.8,-11.0,31.0,-42.0,30.7,27.0,42.3,1.11,1.36,-0.25
25,214783,2021-01-09,05:30,2021,141,Liga MX - Clôture ,52.279,Guard1anes,137142,5151,Mazatlán,Necaxa,Mazatlán - Necaxa,3-2,3,2,0,60.0,67.0,-7.0,1379.0,1745.0,-21.0,4.0,8.0,-4.0,38.0,26.1,35.9,1.35,1.3,0.050000000000000044
74,213984,2021-01-09,08:05,2021,54,A-League,11.923,Temporada Regular,137995,2744,Macarthur FC,Wellington Phoenix,Macarthur FC - Wellington Phoenix,1-1,1,1,1,36.0,27.0,9.0,500.0,333.0,-33.4,-100.0,70.0,-170.0,0.0,19.4,80.6,,,
55,85873,2021-01-09,12:30,2021,37,Süper Lig,39.513,Journée 18,2343,12892,Sivasspor,Gaziantep BB,Sivasspor - Gaziantep BB,2-1,2,1,0,65.0,58.0,7.0,1639.0,1278.0,-22.0,-41.0,14.0,-55.0,34.6,30.8,34.6,1.0,1.0,0.0
36,208635,2021-01-09,14:00,2021,139,FA Cup,41.071,1/32,1824,9189,Norwich City,Coventry City,Norwich City - Coventry City,2-0,2,0,0,70.0,45.0,25.0,1913.0,758.0,-60.4,-32.0,6.0,-38.0,62.5,23.4,14.1,1.7,0.66,1.04
35,208632,2021-01-09,14:00,2021,139,FA Cup,41.071,1/32,1600,2092,Luton Town,Reading,Luton Town - Reading,1-0,1,0,0,54.0,56.0,-2.0,1094.0,1214.0,-9.9,7.0,53.0,-46.0,36.5,23.8,39.7,1.51,1.59,-0.08000000000000007
65,49073,2021-01-09,14:00,2021,93,2. Liga,32.960,Journée 15,1092,1286,Nürnberg,Hamburger SV,Nürnberg - Hamburger SV,1-1,1,1,1,61.0,62.0,-1.0,1420.0,1485.0,-4.4,-5.0,40.0,-45.0,34.2,25.4,40.3,1.31,1.44,-0.1299999999999999
66,49077,2021-01-09,14:00,2021,93,2. Liga,32.960,Journée 15,2418,2914,FC St. Pauli,Holstein Kiel,FC St. Pauli - Holstein Kiel,1-1,1,1,1,56.0,57.0,-1.0,1208.0,1225.0,-1.4,15.0,80.0,-65.0,35.3,22.8,41.9,1.59,1.74,-0.1499999999999999
67,49078,2021-01-09,14:00,2021,93,2. Liga,32.960,Journée 15,2686,9740,VfL Osnabrück,Würzburger Kickers,VfL Osnabrück - Würzburger Kickers,2-3,2,3,2,53.0,50.0,3.0,1063.0,947.0,-10.9,4.0,33.0,-29.0,45.1,24.4,30.4,1.61,1.28,0.33000000000000007
34,208617,2021-01-09,14:00,2021,139,FA Cup,41.071,1/32,1825,636,Nottingham Forest,Cardiff City,Nottingham Forest - Cardiff City,1-0,1,0,0,60.0,61.0,-1.0,1392.0,1459.0,-4.6,-39.0,-3.0,-36.0,29.6,32.3,38.2,0.84,1.0,-0.16000000000000003
33,208616,2021-01-09,14:00,2021,139,FA Cup,41.071,1/32,1017,9194,Everton,Rotherham United,Everton - Rotherham United,2-1,2,1,0,78.0,44.0,34.0,2370.0,748.0,-68.4,26.0,21.0,5.0,87.4,8.5,4.1,3.44,0.7,2.74
37,208639,2021-01-09,14:00,2021,139,FA Cup,41.071,1/32,5526,1694,Boreham Wood,Millwall,Boreham Wood - Millwall,0-2,0,2,2,23.0,57.0,-34.0,293.0,1225.0,-76.1,-16.0,2.0,-18.0,20.8,24.9,54.3,0.9,1.61,-0.7100000000000001
38,208609,2021-01-09,14:15,2021,139,FA Cup,41.071,1/32,16178,916,Chorley,Derby County,Chorley - Derby County,2-0,2,0,0,27.0,60.0,-33.0,336.0,1389.0,-75.8,-28.0,5.0,-33.0,17.0,23.5,59.4,0.79,1.72,-0.9299999999999999
69,97094,2021-01-09,14:30,2021,182,Superliga Albanie,15.347,Journée 13,5831,10060,Bylis Ballsh,KF Tirana,Bylis Ballsh - KF Tirana,0-0,0,0,1,37.0,42.0,-5.0,521.0,664.0,-21.5,3.0,38.0,-35.0,33.6,24.9,41.6,1.34,1.52,-0.17999999999999994
70,97097,2021-01-09,14:30,2021,182,Superliga Albanie,15.347,Journée 13,5833,5835,Kastrioti Krujë,Skënderbeu Korçë,Kastrioti Krujë - Skënderbeu Korçë,2-2,2,2,1,26.0,50.0,-24.0,330.0,944.0,-65.0,7.0,-48.0,55.0,53.3,28.3,18.3,1.34,0.66,0.68
71,97098,2021-01-09,14:30,2021,182,Superliga Albanie,15.347,Journée 13,10059,9082,Laçi,Kukësi,Laçi - Kukësi,3-2,3,2,0,43.0,48.0,-5.0,700.0,890.0,-21.3,48.0,40.0,8.0,47.2,22.0,30.8,1.93,1.53,0.3999999999999999
