index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
6,305411,2022-02-10,03:00,2022,141,Liga MX - Clôture ,Journée 4,64675,1262,FC Juárez,Chivas Guadalajara,FC Juárez - Chivas Guadalajara,1-3,1,3,2,54.0,73.0,-19.0,1124.0,2054.0,-45.3,-7.0,-11.0,4.0,28.7,28.0,43.3,1.0,1.29,-0.29000000000000004
10,282376,2022-02-10,10:45,2022,54,A-League,Journée 7,719,137995,Central Coast Mariners,Macarthur FC,Central Coast Mariners - Macarthur FC,3-3,3,3,1,33.0,44.0,-11.0,444.0,752.0,-41.0,11.0,-16.0,27.0,47.8,27.0,25.2,1.41,0.94,0.47
8,63330,2022-02-10,17:00,2022,20,Liga 1,Journée 25,112187,4625,U Craiova 1948,Botosani,U Craiova 1948 - Botosani,3-2,3,2,0,26.0,53.0,-27.0,323.0,1080.0,-70.1,-20.0,-2.0,-18.0,24.5,25.8,49.8,0.98,1.52,-0.54
7,119346,2022-02-10,17:15,2022,17,Super League,Journée 21,387,20599,Atromitos,Lamia,Atromitos - Lamia,3-1,3,1,0,67.0,43.0,24.0,1775.0,711.0,-59.9,-34.0,-4.0,-30.0,55.0,26.3,18.7,1.49,0.74,0.75
3,338919,2022-02-10,19:00,2022,296,Coppa Italia,1/4 de finale,339,1142,Atalanta,Fiorentina,Atalanta - Fiorentina,2-3,2,3,2,85.0,75.0,10.0,2821.0,2186.0,-22.5,-2.0,17.0,-19.0,55.0,22.6,22.3,1.86,1.1,0.76
9,63329,2022-02-10,19:55,2022,20,Liga 1,Journée 25,9960,17031,Dinamo Bucureşti,Universitatea Craiova,Dinamo Bucureşti - Universitatea Craiova,1-6,1,6,2,67.0,54.0,13.0,1747.0,1101.0,-37.0,-36.0,40.0,-76.0,35.9,27.2,36.9,1.23,1.25,-0.020000000000000018
0,5581,2022-02-10,21:45,2022,10,Premier League,Journée 24,5651,263,Wolves,Arsenal,Wolves - Arsenal,0-1,0,1,2,58.0,92.0,-34.0,1286.0,3358.0,-61.7,-26.0,6.0,-32.0,6.3,14.0,79.7,0.56,2.5,-1.94
1,5584,2022-02-10,21:45,2022,10,Premier League,Journée 24,3845,1538,Liverpool,Leicester,Liverpool - Leicester,2-0,2,0,0,90.0,81.0,9.0,3136.0,2517.0,-19.7,12.0,11.0,1.0,62.1,20.2,17.7,2.12,1.04,1.08
4,344228,2022-02-10,22:00,2022,296,Coppa Italia,1/4 de finale,1430,2634,Juventus,Sassuolo,Juventus - Sassuolo,2-1,2,1,0,95.0,73.0,22.0,3585.0,2070.0,-42.3,-20.0,72.0,-92.0,65.2,19.1,15.7,2.23,1.0,1.23
5,371162,2022-02-10,22:00,2022,325,Coupe de France,1/4 de finale,1776,445,Nantes,Bastia,Nantes - Bastia,2-0,2,0,0,71.0,71.0,0.0,1953.0,1954.0,-0.1,-11.0,32.0,-43.0,37.3,26.2,36.5,1.32,1.3,0.020000000000000018
2,379157,2022-02-10,22:30,2022,129,Coupe du Roi,Demi-finales,347,2647,Athletic,Valencia,Athletic - Valencia,1-1,1,1,1,87.0,84.0,3.0,2938.0,2700.0,-8.1,-14.0,5.0,-19.0,49.3,26.1,24.7,1.49,0.97,0.52
