index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
8,318341,2022-02-18,01:10,2022,42,Ouverture - Colombie,43.500,Temporada Regular,5944,906,Deportivo Pasto,Deportivo Cali,Deportivo Pasto - Deportivo Cali,0-0,0,0,1,66.0,72.0,-6.0,1715.0,2019.0,-15.1,-38.0,29.0,-67.0,19.9,26.7,53.4,0.77,1.46,-0.69
20,306071,2022-02-18,02:00,2022,706,CONCACAF Champions,24.519,1/8 de finale,4406,818,Comunicaciones,Colorado Rapids,Comunicaciones - Colorado Rapids,,,,,54.0,67.0,-13.0,1129.0,1735.0,-34.9,23.0,3.0,20.0,39.4,25.8,34.9,1.4,1.3,0.09999999999999987
9,318344,2022-02-18,03:15,2022,42,Ouverture - Colombie,43.500,Temporada Regular,207,11324,América de Cali,La Equidad,América de Cali - La Equidad,,,,,64.0,65.0,-1.0,1596.0,1652.0,-3.4,-10.0,-12.0,2.0,45.8,28.6,25.6,1.28,0.88,0.4
21,306069,2022-02-18,04:00,2022,706,CONCACAF Champions,24.519,1/8 de finale,690,3992,CD Motagua,Seattle Sounders,CD Motagua - Seattle Sounders,,,,,37.0,72.0,-35.0,516.0,1999.0,-74.2,30.0,19.0,11.0,13.9,16.5,69.6,1.1,2.6,-1.5
30,282424,2022-02-18,10:45,2022,54,A-League,11.442,Journée 15,18574,1795,Melbourne City,Newcastle Jets,Melbourne City - Newcastle Jets,,,,,36.0,18.0,18.0,503.0,250.0,-50.3,50.0,68.0,-18.0,56.2,19.2,24.6,2.41,1.57,0.8400000000000001
18,313400,2022-02-18,12:00,2022,58,Championnat J1,25.184,Journée 1,1450,1110,Kawasaki Frontale,FC Tokyo,Kawasaki Frontale - FC Tokyo,,,,,41.0,41.0,0.0,625.0,625.0,0.0,15.0,13.0,2.0,49.2,24.5,26.3,1.64,1.13,0.51
19,189581,2022-02-18,17:30,2022,205,A PFG,25.038,Journée 20,86651,6371,Arda Kardzhali,Botev Plovdiv,Arda Kardzhali - Botev Plovdiv,,,,,8.0,51.0,-43.0,136.0,975.0,-86.1,16.0,-31.0,47.0,41.8,28.5,29.7,1.25,1.0,0.25
16,63346,2022-02-18,17:30,2022,20,Liga 1,30.625,Journée 27,112187,7556,U Craiova 1948,UTA Arad,U Craiova 1948 - UTA Arad,,,,,28.0,44.0,-16.0,359.0,731.0,-50.9,-24.0,-25.0,1.0,35.2,32.7,32.0,0.94,0.88,0.05999999999999994
23,8023,2022-02-18,19:00,2022,128,Ekstraklasa,23.235,Journée 22,3974,13364,Zaglebie Lubin,Wisła Płock,Zaglebie Lubin - Wisła Płock,,,,,57.0,44.0,13.0,1236.0,729.0,-41.0,-17.0,13.0,-30.0,45.0,26.4,28.6,1.43,1.08,0.34999999999999987
10,50048,2022-02-18,19:00,2022,37,Süper Lig,38.645,Journée 26,1463,10062,Konyaspor,Kasimpasa,Konyaspor - Kasimpasa,,,,,68.0,68.0,0.0,1796.0,1777.0,-1.1,-3.0,1.0,-4.0,45.6,27.1,27.2,1.38,1.0,0.3799999999999999
