index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
6,318378,2022-03-09,00:30,2022,42,Ouverture - Colombie,45.000,Temporada Regular,11323,11320,Águilas Doradas,Envigado,Águilas Doradas - Envigado,,,,,68.0,67.0,1.0,1809.0,1757.0,-2.9,-29.0,-26.0,-3.0,44.7,31.8,23.5,1.1,0.71,0.3900000000000001
4,415133,2022-03-09,02:30,2022,2029,Tour préliminaire Copa Libertadores,56.819,Finale,5639,432,América Mineiro,Barcelona SC,América Mineiro - Barcelona SC,,,,,59.0,49.0,10.0,1343.0,898.0,-33.1,-15.0,-17.0,2.0,56.1,25.4,18.4,1.56,0.77,0.79
7,318371,2022-03-09,02:35,2022,42,Ouverture - Colombie,45.000,Temporada Regular,11716,5944,Jaguares FC,Deportivo Pasto,Jaguares FC - Deportivo Pasto,,,,,61.0,66.0,-5.0,1452.0,1694.0,-14.3,6.0,-25.0,31.0,50.4,27.5,22.1,1.39,0.82,0.57
11,407126,2022-03-09,03:00,2022,706,CONCACAF Champions,25.962,1/4 de finale,59736,4406,New York City,Comunicaciones,New York City - Comunicaciones,,,,,67.0,54.0,13.0,1737.0,1097.0,-36.8,45.0,-30.0,75.0,82.1,12.1,5.8,2.77,0.62,2.15
12,407125,2022-03-09,05:00,2022,706,CONCACAF Champions,25.962,1/4 de finale,3992,10271,Seattle Sounders,León,Seattle Sounders - León,,,,,74.0,72.0,2.0,2131.0,1998.0,-6.2,-6.0,6.0,-12.0,49.4,25.8,24.8,1.52,0.99,0.53
5,305426,2022-03-09,05:06,2022,141,Liga MX - Clôture ,50.956,Journée 5,10275,64675,Monterrey,FC Juárez,Monterrey - FC Juárez,,,,,73.0,53.0,20.0,2062.0,1082.0,-47.5,-25.0,-30.0,5.0,66.0,22.7,11.3,1.71,0.54,1.17
16,282401,2022-03-09,08:05,2022,54,A-League,11.635,Journée 11,719,1671,Central Coast Mariners,Melbourne Victory,Central Coast Mariners - Melbourne Victory,,,,,33.0,42.0,-9.0,439.0,649.0,-32.4,22.0,14.0,8.0,42.7,25.0,32.2,1.52,1.29,0.22999999999999998
17,282393,2022-03-09,10:05,2022,54,A-League,11.635,Journée 11,18574,137995,Melbourne City,Macarthur FC,Melbourne City - Macarthur FC,,,,,35.0,44.0,-9.0,470.0,749.0,-37.2,55.0,-16.0,71.0,60.6,21.1,18.3,2.02,1.01,1.01
18,282389,2022-03-09,10:45,2022,54,A-League,11.635,Journée 11,2744,1795,Wellington Phoenix,Newcastle Jets,Wellington Phoenix - Newcastle Jets,,,,,26.0,18.0,8.0,324.0,249.0,-23.1,42.0,46.0,-4.0,51.0,21.5,27.5,2.02,1.44,0.5800000000000001
19,290594,2022-03-09,15:30,2022,311,Ligue 1 algérienne,11.471,Journée 18,18071,11501,RC Relizane,JS Saoura,RC Relizane - JS Saoura,,,,,25.0,33.0,-8.0,317.0,442.0,-28.3,-16.0,-14.0,-2.0,38.5,30.3,31.2,1.09,0.95,0.14000000000000012
13,332561,2022-03-09,16:30,2022,301,Umaglesi Liga Géorgie,15.312,Journée 3,141081,17558,FC Telavi,Samgurali,FC Telavi - Samgurali,,,,,45.0,33.0,12.0,778.0,439.0,-43.6,-36.0,28.0,-64.0,31.1,28.0,40.9,1.06,1.26,-0.19999999999999996
14,332558,2022-03-09,17:30,2022,301,Umaglesi Liga Géorgie,15.312,Journée 3,11151,11154,Dinamo Tbilisi,Sioni,Dinamo Tbilisi - Sioni,,,,,53.0,40.0,13.0,1064.0,607.0,-43.0,8.0,80.0,-72.0,43.9,21.8,34.3,1.92,1.68,0.24
9,7257,2022-03-09,17:30,2022,30,Championnat de République tchèque ,32.400,Journée 21,10049,13171,Slovan Liberec,Pardubice,Slovan Liberec - Pardubice,,,,,63.0,38.0,25.0,1542.0,544.0,-64.7,-16.0,16.0,-32.0,62.6,22.4,15.0,1.8,0.75,1.05
15,332559,2022-03-09,19:00,2022,301,Umaglesi Liga Géorgie,15.312,Journée 3,17555,17572,Locomotive Tbilisi,Gagra,Locomotive Tbilisi - Gagra,,,,,46.0,38.0,8.0,807.0,554.0,-31.4,5.0,44.0,-39.0,42.9,23.9,33.2,1.64,1.42,0.21999999999999997
10,7264,2022-03-09,19:30,2022,30,Championnat de République tchèque ,32.400,Journée 21,10046,10050,Jablonec,Sparta Praha,Jablonec - Sparta Praha,,,,,61.0,70.0,-9.0,1433.0,1878.0,-23.7,-11.0,55.0,-66.0,22.7,23.0,54.4,1.09,1.82,-0.73
3,408310,2022-03-09,19:45,2022,117,Europa League,70.400,1/8 de finale,486,960,Real Betis,Eintracht Frankfurt,Real Betis - Eintracht Frankfurt,,,,,76.0,77.0,-1.0,2250.0,2260.0,-0.4,24.0,33.0,-9.0,47.8,23.4,28.8,1.76,1.32,0.43999999999999995
2,408300,2022-03-09,19:45,2022,117,Europa League,70.400,1/8 de finale,1095,1866,Porto,Olympique Lyonnais,Porto - Olympique Lyonnais,,,,,89.0,85.0,4.0,3116.0,2808.0,-9.9,18.0,20.0,-2.0,61.3,20.0,18.7,2.17,1.12,1.0499999999999998
8,4151,2022-03-09,21:45,2022,14,Premiership,40.500,Journée 24,9934,2416,Dundee,St. Mirren,Dundee - St. Mirren,,,,,64.0,44.0,20.0,1606.0,724.0,-54.9,13.0,63.0,-50.0,64.3,17.7,18.0,2.56,1.32,1.24
