index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
101,456719,2022-04-23,00:00,2022,65,Botola Maroc Télécom ,14.864,Journée 22,16479,13909,Mouloudia Oujda,Ittihad Tanger,Mouloudia Oujda - Ittihad Tanger,2-3,2,3,2,25.0,35.0,-10.0,311.0,473.0,-34.2,2.0,-7.0,9.0,43.9,27.5,28.7,1.34,1.03,0.31000000000000005,wwwld,lllwl
125,354318,2022-04-23,02:00,2022,1780,Liga Única,5.458,Journée 11,9140,9953,Everton Viña del Mar,Palestino,Everton Viña del Mar - Palestino,0-0,0,0,1,57.0,70.0,-13.0,1243.0,1928.0,-35.5,-28.0,18.0,-46.0,22.9,26.0,51.2,0.92,1.51,-0.59,dwlld,ldddd
19,305517,2022-04-23,02:00,2022,141,Liga MX - Clôture ,55.588,Journée 16,2027,5151,Puebla,Necaxa,Puebla - Necaxa,0-1,0,1,2,67.0,64.0,3.0,1748.0,1612.0,-7.8,-4.0,8.0,-12.0,47.0,26.3,26.7,1.46,1.03,0.42999999999999994,ldwll,llwww
20,305518,2022-04-23,04:00,2022,141,Liga MX - Clôture ,55.588,Journée 16,64675,137142,FC Juárez,Mazatlán,FC Juárez - Mazatlán,0-2,0,2,2,53.0,59.0,-6.0,1068.0,1350.0,-20.9,-15.0,-18.0,3.0,38.8,30.9,30.4,1.07,0.91,0.16000000000000003,lllwl,ldwww
114,282486,2022-04-23,11:45,2022,54,A-League,12.500,Journée 25,1795,719,Newcastle Jets,Central Coast Mariners,Newcastle Jets - Central Coast Mariners,2-4,2,4,2,18.0,32.0,-14.0,250.0,418.0,-40.2,70.0,62.0,8.0,48.4,20.2,31.4,2.23,1.79,0.43999999999999995,lwlll,wldww
85,398724,2022-04-23,12:00,2022,186,Premier League Belarus,19.792,Journée 5,63389,14237,Energetik-BGU,Isloch,Energetik-BGU - Isloch,1-2,1,2,2,36.0,45.0,-9.0,484.0,782.0,-38.1,13.0,52.0,-39.0,31.2,22.7,46.1,1.47,1.82,-0.3500000000000001,wwdwl,ldddw
66,417909,2022-04-23,12:30,2022,20,Liga 1,28.750,Ronda Descenso,7556,7566,UTA Arad,Chindia Târgovişte,UTA Arad - Chindia Târgovişte,1-0,1,0,0,48.0,46.0,2.0,865.0,820.0,-5.2,-19.0,-16.0,-3.0,43.5,30.5,26.0,1.16,0.82,0.33999999999999997,lwllw,llwll
55,454464,2022-04-23,13:00,2022,14,Premiership,34.650,Grupo Campeonato,9930,1241,Motherwell,Rangers FC,Motherwell - Rangers FC,1-3,1,3,2,63.0,64.0,-1.0,1529.0,1575.0,-2.9,4.0,70.0,-66.0,33.8,23.3,42.9,1.49,1.7,-0.20999999999999996,dlwdl,wwlww
42,6681,2022-04-23,13:00,2022,27,Premier League Russie,43.800,Journée 26,11770,11802,Ural Yekaterinburg,Ufa,Ural Yekaterinburg - Ufa,2-1,2,1,0,60.0,54.0,6.0,1373.0,1094.0,-20.3,-46.0,-21.0,-25.0,37.2,35.6,27.2,0.87,0.69,0.18000000000000005,ldllw,dwldl
59,16508,2022-04-23,13:30,2022,93,2. Liga,33.768,Journée 31,2294,2746,Schalke 04,Werder Bremen,Schalke 04 - Werder Bremen,1-4,1,4,2,84.0,76.0,8.0,2715.0,2217.0,-18.3,65.0,71.0,-6.0,63.9,16.0,20.1,3.05,1.75,1.2999999999999998,wwwwl,wdddw
