index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
15,456718,2022-04-28,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 21,1841,11217,Olympique Khouribga,RSB Berkane,Olympique Khouribga - RSB Berkane,,,,,42.0,36.0,6.0,669.0,483.0,-27.8,-26.0,-20.0,-6.0,46.0,30.6,23.4,1.18,0.75,0.42999999999999994,dwddw,ddwll
5,438635,2022-04-28,00:00,2022,204,Copa Libertadores,56.250,Grupo D,5639,900,América Mineiro,Deportes Tolima,América Mineiro - Deportes Tolima,,,,,62.0,72.0,-10.0,1504.0,2000.0,-24.8,-15.0,24.0,-39.0,26.2,26.1,47.7,1.03,1.48,-0.44999999999999996,ld,ld
6,438659,2022-04-28,00:00,2022,204,Copa Libertadores,56.250,Grupo D,1163,172,Fortaleza EC,Alianza Lima,Fortaleza EC - Alianza Lima,,,,,51.0,37.0,14.0,1000.0,515.0,-48.5,45.0,27.0,18.0,68.4,16.7,15.0,2.63,1.18,1.45,ll,ll
8,438658,2022-04-28,02:00,2022,204,Copa Libertadores,56.250,Grupo D,9952,593,Colo-Colo,River Plate,Colo-Colo - River Plate,,,,,77.0,82.0,-5.0,2315.0,2589.0,-10.6,9.0,0.0,9.0,44.5,26.5,29.0,1.42,1.09,0.32999999999999985,ww,ww
7,438599,2022-04-28,02:00,2022,204,Copa Libertadores,56.250,Grupo D,980,11584,CS Emelec,Palmeiras,CS Emelec - Palmeiras,,,,,49.0,80.0,-31.0,900.0,2452.0,-63.3,17.0,-2.0,19.0,17.1,20.1,62.9,1.01,2.13,-1.1199999999999999,dd,ww
9,438670,2022-04-28,02:00,2022,204,Copa Libertadores,56.250,Grupo D,725,1945,Cerro Porteño,Peñarol,Cerro Porteño - Peñarol,,,,,51.0,66.0,-15.0,1003.0,1715.0,-41.5,-3.0,-19.0,16.0,37.6,29.0,33.4,1.14,1.06,0.07999999999999985,dw,lw
10,438611,2022-04-28,04:00,2022,204,Copa Libertadores,56.250,Grupo D,11372,5602,The Strongest,Caracas,The Strongest - Caracas,,,,,61.0,50.0,11.0,1448.0,958.0,-33.8,23.0,21.0,2.0,59.2,20.5,20.3,2.13,1.18,0.95,dl,dl
11,456932,2022-04-28,04:30,2022,706,CONCACAF Champions,28.846,Finale,2035,3992,Pumas UNAM,Seattle Sounders,Pumas UNAM - Seattle Sounders,,,,,70.0,72.0,-2.0,1921.0,2006.0,-4.2,11.0,3.0,8.0,50.3,25.1,24.6,1.59,1.03,0.56,,
12,352791,2022-04-28,12:00,2022,58,Championnat J1,27.022,Journée 10,1423,1771,Júbilo Iwata,Nagoya Grampus,Júbilo Iwata - Nagoya Grampus,,,,,41.0,26.0,15.0,623.0,322.0,-48.3,8.0,-19.0,27.0,59.7,24.4,16.0,1.64,0.71,0.9299999999999999,llddd,lwldd
16,456352,2022-04-28,16:00,2022,386,Super Liga,11.071,Ronda de Descenso,17392,17389,Radnik Surdulica,Metalac GM,Radnik Surdulica - Metalac GM,,,,,31.0,34.0,-3.0,399.0,452.0,-11.7,-51.0,-2.0,-49.0,24.3,33.3,42.4,0.69,1.01,-0.32000000000000006,llwdd,dwlld
14,383700,2022-04-28,17:00,2022,31,Veikkausliiga,20.080,Journée 5,12626,1328,HIFK,HJK Helsinki,HIFK - HJK Helsinki,,,,,44.0,61.0,-17.0,723.0,1425.0,-49.3,-9.0,37.0,-46.0,22.6,23.1,54.3,1.08,1.8,-0.72,ldll,wwwl
17,456353,2022-04-28,18:05,2022,386,Super Liga,11.071,Ronda de Descenso,18035,17391,FK Spartak Subotica,Proleter Novi Sad,FK Spartak Subotica - Proleter Novi Sad,,,,,36.0,30.0,6.0,497.0,385.0,-22.5,-23.0,-13.0,-10.0,42.1,30.5,27.4,1.14,0.85,0.2899999999999999,llwld,ldldd
13,337976,2022-04-28,20:00,2022,18,Eliteserien,24.750,Journée 15,1557,22,Lillestrom SK,Aalesunds FK,Lillestrom SK - Aalesunds FK,,,,,55.0,58.0,-3.0,1141.0,1291.0,-11.6,29.0,86.0,-57.0,32.9,21.6,45.5,1.66,1.97,-0.31000000000000005,,
2,6029,2022-04-28,20:45,2022,10,Premier League,91.283,Journée 37,1635,752,Man. Utd,Chelsea,Man. Utd - Chelsea,,,,,92.0,94.0,-2.0,3325.0,3485.0,-4.6,-37.0,13.0,-50.0,28.4,30.9,40.7,0.87,1.1,-0.2300000000000001,wdlwl,wwlwl
3,457382,2022-04-28,21:00,2022,117,Europa League,76.800,Demi-finales,2804,960,West Ham,Eintracht Frankfurt,West Ham - Eintracht Frankfurt,,,,,80.0,77.0,3.0,2439.0,2260.0,-7.3,-4.0,39.0,-43.0,44.5,25.1,30.4,1.54,1.23,0.31000000000000005,,
1,457386,2022-04-28,21:00,2022,2492,Conference League,96.000,Demi-finales,1135,5117,Feyenoord,Olympique Marseille,Feyenoord - Olympique Marseille,,,,,83.0,83.0,0.0,2687.0,2654.0,-1.2,19.0,10.0,9.0,57.5,22.2,20.2,1.89,1.03,0.8599999999999999,,
4,457388,2022-04-28,21:00,2022,117,Europa League,76.800,Demi-finales,9750,1241,RB Leipzig,Rangers FC,RB Leipzig - Rangers FC,,,,,67.0,64.0,3.0,1769.0,1608.0,-9.1,34.0,79.0,-45.0,49.1,20.6,30.3,2.16,1.68,0.4800000000000002,,
0,457384,2022-04-28,21:00,2022,2492,Conference League,96.000,Demi-finales,1538,2176,Leicester,Roma,Leicester - Roma,,,,,80.0,89.0,-9.0,2493.0,3097.0,-19.5,13.0,2.0,11.0,40.0,25.7,34.2,1.42,1.29,0.1299999999999999,,
