index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
14,354291,2022-03-18,01:30,2022,1780,Liga Única,5.250,Journée 7,4391,4388,Univ de Chile,Curicó Unido,Univ de Chile - Curicó Unido,,,,,77.0,56.0,21.0,2267.0,1203.0,-46.9,-38.0,33.0,-71.0,46.0,26.6,27.4,1.43,1.04,0.3899999999999999
18,407124,2022-03-18,02:30,2022,706,CONCACAF Champions,25.962,1/4 de finale,10271,3992,León,Seattle Sounders,León - Seattle Sounders,,,,,72.0,74.0,-2.0,1998.0,2131.0,-6.2,-13.0,2.0,-15.0,39.4,28.7,31.9,1.2,1.05,0.1499999999999999
7,415134,2022-03-18,02:30,2022,2029,Tour préliminaire Copa Libertadores,56.819,Finale,11372,5292,The Strongest,Universidad Católica,The Strongest - Universidad Católica,,,,,59.0,42.0,17.0,1359.0,671.0,-50.6,22.0,74.0,-52.0,57.3,19.2,23.5,2.4,1.51,0.8899999999999999
11,318386,2022-03-18,02:45,2022,42,Ouverture - Colombie,45.500,Temporada Regular,4372,11716,At. Nacional,Jaguares FC,At. Nacional - Jaguares FC,,,,,81.0,61.0,20.0,2546.0,1418.0,-44.3,-12.0,-21.0,9.0,76.9,16.3,6.8,2.2,0.49,1.7100000000000002
8,305472,2022-03-18,05:05,2022,141,Liga MX - Clôture ,51.618,Journée 11,4346,9133,Querétaro,Atl. San Luis,Querétaro - Atl. San Luis,,,,,67.0,53.0,14.0,1753.0,1076.0,-38.6,-34.0,33.0,-67.0,39.9,27.2,33.0,1.3,1.16,0.14000000000000012
34,282448,2022-03-18,10:45,2022,54,A-League,11.731,Journée 19,1795,2744,Newcastle Jets,Wellington Phoenix,Newcastle Jets - Wellington Phoenix,,,,,18.0,29.0,-11.0,252.0,367.0,-31.3,17.0,32.0,-15.0,43.0,23.9,33.2,1.64,1.42,0.21999999999999997
19,352744,2022-03-18,12:00,2022,58,Championnat J1,25.919,Journée 5,2778,5780,Yokohama F. Marinos,Sagan Tosu,Yokohama F. Marinos - Sagan Tosu,,,,,41.0,42.0,-1.0,625.0,677.0,-7.7,56.0,-30.0,86.0,71.3,18.2,10.6,2.16,0.69,1.4700000000000002
35,290626,2022-03-18,16:00,2022,311,Ligue 1 algérienne,11.618,Journée 22,59580,59337,HB Chelghoum Laid,Biskra,HB Chelghoum Laid - Biskra,,,,,18.0,11.0,7.0,251.0,168.0,-33.1,5.0,5.0,0.0,47.8,26.0,26.2,1.49,1.03,0.45999999999999996
36,290627,2022-03-18,16:00,2022,311,Ligue 1 algérienne,11.618,Journée 22,11511,16530,MC Oran,NA Hussein Dey,MC Oran - NA Hussein Dey,,,,,36.0,36.0,0.0,496.0,490.0,-1.2,-14.0,10.0,-24.0,39.2,28.2,32.6,1.22,1.09,0.1299999999999999
37,290630,2022-03-18,16:00,2022,311,Ligue 1 algérienne,11.618,Journée 22,18071,11509,RC Relizane,USM Alger,RC Relizane - USM Alger,,,,,26.0,45.0,-19.0,323.0,753.0,-57.1,-16.0,10.0,-26.0,26.1,27.2,46.7,0.96,1.39,-0.42999999999999994
26,332567,2022-03-18,17:00,2022,301,Umaglesi Liga Géorgie,15.417,Journée 5,17555,11150,Locomotive Tbilisi,Dinamo Batumi,Locomotive Tbilisi - Dinamo Batumi,,,,,46.0,46.0,0.0,808.0,808.0,0.0,-1.0,31.0,-32.0,39.7,25.7,34.6,1.41,1.3,0.10999999999999988
20,189609,2022-03-18,17:30,2022,205,A PFG,25.644,Journée 24,86651,6475,Arda Kardzhali,Lokomotiv Plovdiv,Arda Kardzhali - Lokomotiv Plovdiv,,,,,10.0,53.0,-43.0,152.0,1074.0,-85.8,18.0,8.0,10.0,28.6,23.7,47.6,1.28,1.71,-0.42999999999999994
21,417890,2022-03-18,17:30,2022,20,Liga 1,25.625,Ronda Descenso,4625,7556,Botosani,UTA Arad,Botosani - UTA Arad,,,,,55.0,48.0,7.0,1167.0,866.0,-25.8,-20.0,-29.0,9.0,51.8,28.5,19.7,1.33,0.7,0.6300000000000001
27,311994,2022-03-18,19:00,2022,346,Premier League Irlande,15.104,Journée 7,2614,1047,UC Dublin,Bohemian FC,UC Dublin - Bohemian FC,,,,,37.0,47.0,-10.0,514.0,834.0,-38.4,54.0,30.0,24.0,49.3,21.9,28.8,1.95,1.45,0.5
33,12829,2022-03-18,19:00,2022,386,Super Liga,12.250,Journée 28,80053,17391,Bačka Topola,Proleter Novi Sad,Bačka Topola - Proleter Novi Sad,,,,,9.0,29.0,-20.0,141.0,364.0,-61.3,28.0,7.0,21.0,46.5,24.9,28.5,1.58,1.18,0.40000000000000013
23,8054,2022-03-18,19:00,2022,128,Ekstraklasa,23.676,Journée 26,3974,13363,Zaglebie Lubin,Warta Poznan,Zaglebie Lubin - Warta Poznan,,,,,57.0,16.0,41.0,1249.0,224.0,-82.1,-12.0,-11.0,-1.0,69.0,20.6,10.4,1.89,0.57,1.3199999999999998
13,50092,2022-03-18,19:00,2022,37,Süper Lig,39.296,Journée 30,12946,1452,Fatih Karagümrük,Kayserispor,Fatih Karagümrük - Kayserispor,,,,,33.0,65.0,-32.0,446.0,1666.0,-73.2,63.0,25.0,38.0,29.9,20.8,49.3,1.63,2.13,-0.5
