index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
2,305413,2022-02-07,00:00,2022,141,Liga MX - Clôture ,Journée 4,4346,2027,Querétaro,Puebla,Querétaro - Puebla,0-2,0,2,2,68.0,68.0,0.0,1822.0,1805.0,-0.9,-20.0,21.0,-41.0,34.5,28.1,37.4,1.14,1.2,-0.06000000000000005
9,364969,2022-02-07,01:00,2022,46,Primera Division,Journée 1,1770,5951,Nacional,Club Deportivo Maldonado,Nacional - Club Deportivo Maldonado,2-3,2,3,2,69.0,41.0,28.0,1875.0,625.0,-66.7,-5.0,-18.0,13.0,77.3,15.3,7.4,2.38,0.59,1.79
7,354248,2022-02-07,01:30,2022,1780,Liga Única,Journée 1,9952,9140,Colo-Colo,Everton Viña del Mar,Colo-Colo - Everton Viña del Mar,2-0,2,0,0,81.0,54.0,27.0,2546.0,1127.0,-55.7,-13.0,-27.0,14.0,80.2,14.4,5.4,2.35,0.45,1.9000000000000001
3,305414,2022-02-07,02:00,2022,141,Liga MX - Clôture ,Journée 4,731,10274,Atlas Guadalajara,Santos Laguna,Atlas Guadalajara - Santos Laguna,2-1,2,1,0,67.0,73.0,-6.0,1729.0,2072.0,-16.6,-28.0,-6.0,-22.0,30.4,31.4,38.1,0.89,1.04,-0.15000000000000002
4,305415,2022-02-07,04:00,2022,141,Liga MX - Clôture ,Journée 4,4348,137142,Tigres UANL,Mazatlán,Tigres UANL - Mazatlán,4-3,4,3,0,79.0,61.0,18.0,2389.0,1418.0,-40.6,-23.0,-17.0,-6.0,64.7,22.4,12.9,1.78,0.64,1.1400000000000001
13,8009,2022-02-07,19:00,2022,128,Ekstraklasa,Journée 20,13380,13364,Radomiak Radom,Wisła Płock,Radomiak Radom - Wisła Płock,1-1,1,1,1,23.0,44.0,-21.0,296.0,743.0,-60.2,33.0,22.0,11.0,40.5,23.6,36.0,1.63,1.53,0.09999999999999987
12,63321,2022-02-07,19:55,2022,20,Liga 1,Journée 24,4625,9960,Botosani,Dinamo Bucureşti,Botosani - Dinamo Bucureşti,4-0,4,0,0,53.0,67.0,-14.0,1089.0,1738.0,-37.3,-42.0,-21.0,-21.0,21.9,32.1,46.0,0.66,1.1,-0.44000000000000006
14,3788,2022-02-07,20:30,2022,97,Liga A1,Temporada Regular,1609,1748,Maccabi Haifa,FC Ashdod,Maccabi Haifa - FC Ashdod,6-0,6,0,0,47.0,27.0,20.0,850.0,345.0,-59.4,35.0,36.0,-1.0,64.7,17.8,17.4,2.51,1.25,1.2599999999999998
5,35303,2022-02-07,21:00,2022,19,Liga NOS,Journée 21,6994,466,Tondela,Benfica,Tondela - Benfica,1-3,1,3,2,59.0,90.0,-31.0,1363.0,3141.0,-56.6,6.0,14.0,-8.0,15.2,18.6,66.2,1.01,2.29,-1.28
1,49002,2022-02-07,21:45,2022,7,Serie A,Journée 24,2209,2817,Salernitana,Spezia,Salernitana - Spezia,2-2,2,2,1,49.0,60.0,-11.0,930.0,1370.0,-32.1,-18.0,26.0,-44.0,25.1,25.9,49.0,1.0,1.51,-0.51
11,16989,2022-02-07,21:45,2022,92,Ligue 2,Journée 23,1925,97,Paris FC,Ajaccio,Paris FC - Ajaccio,2-0,2,0,0,43.0,56.0,-13.0,712.0,1221.0,-41.7,66.0,-21.0,87.0,61.5,20.9,17.6,2.03,0.99,1.0399999999999998
0,21018,2022-02-07,22:00,2022,1,Liga Santander,Journée 23,347,998,Athletic,Espanyol,Athletic - Espanyol,2-1,2,1,0,86.0,78.0,8.0,2864.0,2350.0,-17.9,-20.0,-21.0,1.0,58.7,25.2,16.1,1.57,0.68,0.89
10,364974,2022-02-07,22:00,2022,46,Primera Division,Journée 1,2167,5600,River Plate Montevideo,Wanderers Montevideo,River Plate Montevideo - Wanderers Montevideo,1-1,1,1,1,64.0,64.0,0.0,1616.0,1606.0,-0.6,-2.0,-13.0,11.0,51.2,26.6,22.2,1.46,0.86,0.6
8,354250,2022-02-07,23:00,2022,1780,Liga Única,Journée 1,390,9135,Audax Italiano,Ñublense,Audax Italiano - Ñublense,1-2,1,2,2,72.0,48.0,24.0,1987.0,875.0,-56.0,-12.0,44.0,-56.0,58.4,21.2,20.4,2.03,1.11,0.9199999999999997
6,35307,2022-02-07,23:15,2022,19,Liga NOS,Journée 21,1737,138403,Moreirense,Belenenses SAD,Moreirense - Belenenses SAD,4-1,4,1,0,66.0,37.0,29.0,1713.0,527.0,-69.2,7.0,-19.0,26.0,83.6,11.8,4.6,2.68,0.49,2.1900000000000004
