index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
26,305427,2022-02-19,03:00,2022,141,Liga MX - Clôture ,48.971,Journée 6,2027,10275,Puebla,Monterrey,Puebla - Monterrey,,,,,69.0,75.0,-6.0,1829.0,2182.0,-16.2,-11.0,25.0,-36.0,30.0,26.8,43.2,1.1,1.38,-0.2799999999999998
27,305428,2022-02-19,05:00,2022,141,Liga MX - Clôture ,48.971,Journée 6,64675,10274,FC Juárez,Santos Laguna,FC Juárez - Santos Laguna,,,,,54.0,73.0,-19.0,1123.0,2065.0,-45.6,-7.0,-6.0,-1.0,27.4,27.3,45.3,1.0,1.37,-0.3700000000000001
28,305429,2022-02-19,05:06,2022,141,Liga MX - Clôture ,48.971,Journée 6,5994,5151,Tijuana,Necaxa,Tijuana - Necaxa,,,,,70.0,64.0,6.0,1916.0,1609.0,-16.0,-13.0,-3.0,-10.0,51.5,26.1,22.5,1.51,0.9,0.61
93,313403,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,2329,828,Shimizu S-Pulse,Consadole Sapporo,Shimizu S-Pulse - Consadole Sapporo,,,,,42.0,46.0,-4.0,680.0,809.0,-15.9,-11.0,35.0,-46.0,32.6,25.8,41.6,1.24,1.44,-0.19999999999999996
113,356463,2022-02-19,07:00,2022,59,K-League,14.106,Journée 1,1412,13686,Jeonbuk Hyundai Motors,Suwon FC,Jeonbuk Hyundai Motors - Suwon FC,,,,,52.0,32.0,20.0,1050.0,418.0,-60.2,24.0,36.0,-12.0,64.8,18.2,16.9,2.41,1.17,1.2400000000000002
97,313408,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,403,1423,Avispa Fukuoka,Júbilo Iwata,Avispa Fukuoka - Júbilo Iwata,,,,,41.0,41.0,0.0,625.0,625.0,0.0,34.0,66.0,-32.0,44.1,21.9,34.1,1.91,1.66,0.25
96,313407,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,2245,5780,Sanfrecce Hiroshima,Sagan Tosu,Sanfrecce Hiroshima - Sagan Tosu,,,,,41.0,42.0,-1.0,625.0,677.0,-7.7,-35.0,-29.0,-6.0,38.2,34.9,26.9,0.9,0.71,0.19000000000000006
95,313406,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,1199,1445,Gamba Osaka,Kashima Antlers,Gamba Osaka - Kashima Antlers,,,,,41.0,41.0,0.0,625.0,625.0,0.0,-13.0,28.0,-41.0,35.6,26.8,37.6,1.24,1.28,-0.040000000000000036
94,313405,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,1479,4522,Kyoto Sanga,Urawa Reds,Kyoto Sanga - Urawa Reds,,,,,57.0,41.0,16.0,1232.0,625.0,-49.3,11.0,15.0,-4.0,58.6,20.9,20.5,2.08,1.15,0.9300000000000002
92,313401,2022-02-19,07:00,2022,58,Championnat J1,25.184,Journée 1,2778,723,Yokohama F. Marinos,Cerezo Osaka,Yokohama F. Marinos - Cerezo Osaka,,,,,41.0,60.0,-19.0,625.0,1373.0,-54.5,60.0,0.0,60.0,46.0,22.6,31.4,1.83,1.49,0.3400000000000001
99,313404,2022-02-19,08:00,2022,58,Championnat J1,25.184,Journée 1,1771,2727,Nagoya Grampus,Vissel Kobe,Nagoya Grampus - Vissel Kobe,,,,,41.0,43.0,-2.0,625.0,695.0,-10.1,21.0,32.0,-11.0,45.6,23.6,30.8,1.71,1.37,0.33999999999999986
98,313402,2022-02-19,08:00,2022,58,Championnat J1,25.184,Journée 1,4521,1446,Shonan Bellmare,Kashiwa Reysol,Shonan Bellmare - Kashiwa Reysol,,,,,41.0,43.0,-2.0,625.0,698.0,-10.5,-50.0,-13.0,-37.0,27.0,34.9,38.1,0.71,0.9,-0.19000000000000006
116,282426,2022-02-19,08:05,2022,54,A-League,11.442,Journée 15,2744,2455,Wellington Phoenix,Sydney,Wellington Phoenix - Sydney,,,,,28.0,40.0,-12.0,347.0,594.0,-41.6,45.0,35.0,10.0,45.1,22.8,32.1,1.8,1.49,0.31000000000000005
115,356465,2022-02-19,09:30,2022,59,K-League,14.106,Journée 1,1372,2440,Incheon United,Suwon Bluewings,Incheon United - Suwon Bluewings,,,,,38.0,48.0,-10.0,556.0,891.0,-37.6,-29.0,-3.0,-26.0,29.8,30.8,39.3,0.9,1.08,-0.18000000000000005
114,356464,2022-02-19,09:30,2022,59,K-League,14.106,Journée 1,880,1101,Daegu FC,FC Seoul,Daegu FC - FC Seoul,,,,,31.0,52.0,-21.0,396.0,1036.0,-61.8,33.0,17.0,16.0,39.0,23.8,37.2,1.58,1.53,0.050000000000000044
117,282427,2022-02-19,10:45,2022,54,A-League,11.442,Journée 15,1671,719,Melbourne Victory,Central Coast Mariners,Melbourne Victory - Central Coast Mariners,,,,,42.0,32.0,10.0,665.0,416.0,-37.4,18.0,50.0,-32.0,46.4,22.6,31.1,1.84,1.48,0.3600000000000001
