index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
77,409705,2022-03-28,00:00,2022,2602,MLS Next Pro,3.817,Temporada Regular,109993,84133,Colorado Rapids II,Sporting Kansas City II,Colorado Rapids II - Sporting Kansas City II,,,,,0.0,34.0,-34.0,0.0,464.0,-100.0,0.0,8.0,-8.0,0.0,26.0,74.0,,,
1,438732,2022-03-28,00:00,2022,307,Amicaux internationaux,72.000,,61755,5625,Belize,Cuba,Belize - Cuba,,,,,42.0,40.0,2.0,653.0,608.0,-6.9,-29.0,-2.0,-27.0,35.0,31.5,33.4,,,
54,329938,2022-03-28,00:00,2022,1729,Acreano,6.696,Journée 4,149790,20615,Senador Guimard,Atlético Acreano,Senador Guimard - Atlético Acreano,,,,,46.0,30.0,16.0,800.0,381.0,-52.4,-31.0,-13.0,-18.0,45.5,30.5,24.0,1.18,0.77,0.4099999999999999
14,438575,2022-03-28,00:00,2022,173,Campeonato Paulista,35.000,Demi-finales,16498,5548,Água Santa,Ituano,Água Santa - Ituano,,,,,48.0,32.0,16.0,865.0,420.0,-51.4,-29.0,1.0,-30.0,43.7,28.6,27.7,1.26,0.94,0.32000000000000006
13,438576,2022-03-28,00:00,2022,173,Campeonato Paulista,35.000,Demi-finales,16510,11586,Inter de Limeira,Botafogo SP,Inter de Limeira - Botafogo SP,,,,,64.0,35.0,29.0,1572.0,482.0,-69.3,-42.0,-41.0,-1.0,57.8,29.2,13.0,1.3,0.46,0.8400000000000001
8,318402,2022-03-28,00:15,2022,42,Ouverture - Colombie,46.500,Temporada Regular,5933,11319,Alianza Petrolera,Patriotas Boyacá,Alianza Petrolera - Patriotas Boyacá,,,,,62.0,66.0,-4.0,1476.0,1695.0,-12.9,27.0,-11.0,38.0,53.2,24.5,22.4,1.65,0.98,0.6699999999999999
33,390605,2022-03-28,00:15,2022,1807,Tournoi de transition Venezuela,13.542,Journée 5,3609,11646,Monagas,Metropolitanos,Monagas - Metropolitanos,,,,,44.0,26.0,18.0,741.0,325.0,-56.1,11.0,23.0,-12.0,55.5,22.2,22.4,1.92,1.14,0.78
2,438733,2022-03-28,01:00,2022,307,Amicaux internationaux,72.000,,11306,6193,Guyana,Barbade,Guyana - Barbade,,,,,51.0,54.0,-3.0,1006.0,1103.0,-8.8,-100.0,-78.0,-22.0,0.0,79.6,20.4,,,
66,309683,2022-03-28,01:00,2022,2018,D1 Féminine Mexique - Clôture,5.956,Journée 13,121256,109326,Atl. San Luis,Tigres UANL,Atl. San Luis - Tigres UANL,,,,,,,,,,,,,,,,,,,
63,420411,2022-03-28,01:00,2022,190,D2 Équateur,6.125,Journée 3,4402,89018,Manta,Búhos ULVR,Manta - Búhos ULVR,,,,,15.0,23.0,-8.0,212.0,295.0,-28.1,-26.0,10.0,-36.0,29.5,30.0,40.5,0.92,1.14,-0.21999999999999986
