index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
9,415130,2022-03-10,00:15,2022,2029,Tour préliminaire Copa Libertadores,56.819,Finale,9140,1010,Everton Viña del Mar,Estudiantes La Plata,Everton Viña del Mar - Estudiantes La Plata,,,,,59.0,84.0,-25.0,1351.0,2713.0,-50.2,-21.0,41.0,-62.0,7.7,13.0,79.3,0.79,2.83,-2.04
10,415128,2022-03-10,02:30,2022,2029,Tour préliminaire Copa Libertadores,56.819,Finale,1158,1852,Fluminense,Olimpia,Fluminense - Olimpia,,,,,75.0,48.0,27.0,2147.0,893.0,-58.4,-6.0,49.0,-55.0,65.5,18.4,16.1,2.36,1.09,1.2699999999999998
19,318320,2022-03-10,03:00,2022,42,Ouverture - Colombie,45.000,Temporada Regular,912,1868,Deportivo Pereira,Once Caldas,Deportivo Pereira - Once Caldas,,,,,55.0,70.0,-15.0,1150.0,1891.0,-39.2,10.0,-14.0,24.0,41.3,27.0,31.7,1.34,1.14,0.20000000000000018
20,407129,2022-03-10,03:00,2022,706,CONCACAF Champions,25.962,1/4 de finale,3994,2035,New England Revolution,Pumas UNAM,New England Revolution - Pumas UNAM,,,,,69.0,71.0,-2.0,1875.0,1955.0,-4.1,21.0,-1.0,22.0,54.8,23.7,21.5,1.73,0.99,0.74
21,407131,2022-03-10,05:00,2022,706,CONCACAF Champions,25.962,1/4 de finale,705,6385,Cruz Azul,CF Montréal,Cruz Azul - CF Montréal,,,,,71.0,64.0,7.0,1953.0,1609.0,-17.6,-9.0,-2.0,-7.0,53.2,25.7,21.1,1.54,0.87,0.67
13,408358,2022-03-10,19:45,2022,2492,Conference League,88.000,1/8 de finale,10057,1524,Slavia Praha,LASK,Slavia Praha - LASK,,,,,60.0,46.0,14.0,1400.0,822.0,-41.3,39.0,30.0,9.0,64.6,17.5,17.9,2.58,1.32,1.26
14,408362,2022-03-10,19:45,2022,2492,Conference League,88.000,1/8 de finale,3658,1135,Partizan Beograd,Feyenoord,Partizan Beograd - Feyenoord,,,,,47.0,84.0,-37.0,836.0,2700.0,-69.0,34.0,17.0,17.0,9.4,13.3,77.3,0.99,2.97,-1.9800000000000002
12,408354,2022-03-10,19:45,2022,2492,Conference League,88.000,1/8 de finale,2728,2176,Vitesse,Roma,Vitesse - Roma,,,,,77.0,88.0,-11.0,2270.0,2992.0,-24.1,-15.0,25.0,-40.0,20.5,23.4,56.1,0.97,1.76,-0.79
11,408352,2022-03-10,19:45,2022,2492,Conference League,88.000,1/8 de finale,1919,1431,PAOK,KAA Gent,PAOK - KAA Gent,,,,,76.0,72.0,4.0,2208.0,2026.0,-8.2,-8.0,-13.0,5.0,52.1,27.6,20.4,1.39,0.76,0.6299999999999999
0,408304,2022-03-10,19:45,2022,117,Europa League,90.000,1/8 de finale,1102,2804,Sevilla,West Ham,Sevilla - West Ham,,,,,90.0,79.0,11.0,3200.0,2397.0,-25.1,-6.0,17.0,-23.0,66.3,20.0,13.7,2.05,0.81,1.2399999999999998
