index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
37,384511,2022-05-01,00:00,2022,24,Brasileirão,46.184,Journée 4,15137,17207,Cuiabá,Atlético GO,Cuiabá - Atlético GO,,,,,51.0,59.0,-8.0,1000.0,1339.0,-25.3,43.0,5.0,38.0,51.5,22.7,25.9,1.86,1.26,0.6000000000000001,wlw,dld
90,456726,2022-05-01,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 22,11217,87100,RSB Berkane,Riadi Salmi,RSB Berkane - Riadi Salmi,,,,,36.0,17.0,19.0,483.0,233.0,-51.8,31.0,4.0,27.0,63.4,20.1,16.5,2.11,0.98,1.13,dwlll,dldlw
19,305528,2022-05-01,00:00,2022,141,Liga MX - Clôture ,56.250,Journée 17,4346,64675,Querétaro,FC Juárez,Querétaro - FC Juárez,,,,,67.0,53.0,14.0,1770.0,1075.0,-39.3,-35.0,-44.0,9.0,53.8,30.5,15.8,1.23,0.52,0.71,dldld,lllwl
91,351155,2022-05-01,00:30,2022,43,Serie A Équateur,14.200,Fase 1,62917,17853,9 de Octubre,Delfín,9 de Octubre - Delfín,,,,,26.0,32.0,-6.0,320.0,423.0,-24.3,19.0,56.0,-37.0,38.7,22.9,38.3,1.67,1.66,0.010000000000000009,ddlld,dwddl
33,318454,2022-05-01,01:10,2022,42,Ouverture - Colombie,49.000,Temporada Regular,2255,11716,Santa Fe,Jaguares FC,Santa Fe - Jaguares FC,,,,,78.0,60.0,18.0,2321.0,1406.0,-39.4,-13.0,-21.0,8.0,69.7,20.7,9.5,1.85,0.52,1.33,lwlll,ldwld
57,308128,2022-05-01,01:30,2022,69,MLS,35.594,Journée 12,3994,119123,New England Revolution,Inter Miami,New England Revolution - Inter Miami,,,,,67.0,62.0,5.0,1752.0,1498.0,-14.5,29.0,-42.0,71.0,74.1,17.4,8.5,2.16,0.57,1.5900000000000003,wllll,llllw
58,308133,2022-05-01,01:30,2022,69,MLS,35.594,Journée 12,819,888,Columbus Crew,DC United,Columbus Crew - DC United,,,,,70.0,67.0,3.0,1920.0,1749.0,-8.9,24.0,43.0,-19.0,49.8,22.1,28.1,1.93,1.41,0.52,dwdll,wwlll
59,308134,2022-05-01,01:30,2022,69,MLS,35.594,Journée 12,17824,137770,Orlando City,Charlotte FC,Orlando City - Charlotte FC,,,,,56.0,59.0,-3.0,1204.0,1365.0,-11.8,15.0,-36.0,51.0,59.9,24.6,15.5,1.61,0.68,0.93,lwdlw,lwwlw
20,305529,2022-05-01,02:00,2022,141,Liga MX - Clôture ,56.250,Journée 17,731,4348,Atlas Guadalajara,Tigres UANL,Atlas Guadalajara - Tigres UANL,,,,,66.0,78.0,-12.0,1705.0,2331.0,-26.9,-33.0,15.0,-48.0,21.4,26.9,51.7,0.82,1.44,-0.62,lwldw,lwwll
60,308135,2022-05-01,02:00,2022,69,MLS,35.594,Journée 12,758,2144,Chicago Fire,New York RB,Chicago Fire - New York RB,,,,,66.0,72.0,-6.0,1681.0,2010.0,-16.4,-7.0,24.0,-31.0,31.9,26.5,41.6,1.18,1.38,-0.19999999999999996,dwwdl,wldwl
21,305530,2022-05-01,02:06,2022,141,Liga MX - Clôture ,56.250,Journée 17,10275,5994,Monterrey,Tijuana,Monterrey - Tijuana,,,,,74.0,70.0,4.0,2133.0,1923.0,-9.8,-22.0,-32.0,10.0,52.5,29.8,17.8,1.26,0.6,0.66,wwldl,ddlld
61,308136,2022-05-01,02:30,2022,69,MLS,35.594,Journée 12,1440,1057,Sporting Kansas City,FC Dallas,Sporting Kansas City - FC Dallas,,,,,70.0,75.0,-5.0,1911.0,2173.0,-12.1,5.0,2.0,3.0,42.5,26.9,30.6,1.36,1.11,0.25,llwll,lwwdw
62,308137,2022-05-01,03:00,2022,69,MLS,35.594,Journée 12,818,5610,Colorado Rapids,Portland Timbers,Colorado Rapids - Portland Timbers,,,,,69.0,67.0,2.0,1874.0,1758.0,-6.2,14.0,20.0,-6.0,51.3,23.7,25.0,1.73,1.14,0.5900000000000001,wwddl,wldlw
92,351153,2022-05-01,03:00,2022,43,Serie A Équateur,14.200,Fase 1,5583,11703,Técnico Universitario,Aucas,Técnico Universitario - Aucas,,,,,28.0,33.0,-5.0,360.0,433.0,-16.9,-11.0,27.0,-38.0,31.8,26.9,41.2,1.14,1.34,-0.20000000000000018,wdddl,dwlwl
34,318458,2022-05-01,03:15,2022,42,Ouverture - Colombie,49.000,Temporada Regular,900,4374,Deportes Tolima,Cortuluá,Deportes Tolima - Cortuluá,,,,,72.0,62.0,10.0,2014.0,1495.0,-25.8,-10.0,-9.0,-1.0,54.5,25.7,19.7,1.54,0.81,0.73,wwwlw,lllll
22,305531,2022-05-01,04:00,2022,141,Liga MX - Clôture ,56.250,Journée 17,10276,705,América,Cruz Azul,América - Cruz Azul,,,,,76.0,70.0,6.0,2208.0,1930.0,-12.6,-11.0,-5.0,-6.0,51.7,26.4,21.9,1.48,0.86,0.62,wwwww,wdlwl
97,282495,2022-05-01,08:05,2022,54,A-League,12.500,Journée 26,137995,1795,Macarthur FC,Newcastle Jets,Macarthur FC - Newcastle Jets,,,,,50.0,19.0,31.0,963.0,255.0,-73.5,-12.0,44.0,-56.0,45.3,24.2,30.6,1.64,1.31,0.32999999999999985,wlwll,lwlll
28,2603,2022-05-01,12:15,2022,9,Eredivisie,49.118,Journée 31,1304,2282,Heerenveen,Cambuur,Heerenveen - Cambuur,,,,,76.0,60.0,16.0,2244.0,1369.0,-39.0,-23.0,34.0,-57.0,54.8,24.3,20.8,1.67,0.92,0.7499999999999999,dwdwl,lllll
7,49371,2022-05-01,12:30,2022,7,Serie A,73.816,Journée 35,1430,2673,Juventus,Venezia,Juventus - Venezia,,,,,95.0,38.0,57.0,3597.0,549.0,-84.7,-34.0,-13.0,-21.0,56.3,27.2,16.5,1.42,0.63,0.7899999999999999,wlwdw,lllll
12,15910,2022-05-01,13:00,2022,16,Ligue 1,65.204,Journée 35,2539,3015,Troyes,Lille,Troyes - Lille,,,,,59.0,81.0,-22.0,1342.0,2505.0,-46.4,-23.0,-3.0,-20.0,18.1,23.8,58.1,0.83,1.7,-0.87,wldll,ddllw
56,454469,2022-05-01,13:00,2022,14,Premiership,36.300,Grupo Campeonato,716,1241,Celtic,Rangers FC,Celtic - Rangers FC,,,,,80.0,64.0,16.0,2475.0,1575.0,-36.4,6.0,58.0,-52.0,65.0,19.0,16.0,2.25,1.03,1.22,wwwww,wwlww
41,6684,2022-05-01,13:00,2022,27,Premier League Russie,44.100,Journée 27,2379,1467,Spartak Moskva,Krylia Sovetov,Spartak Moskva - Krylia Sovetov,,,,,73.0,62.0,11.0,2037.0,1511.0,-25.8,18.0,48.0,-30.0,52.9,20.5,26.6,2.18,1.51,0.6700000000000002,dlwdl,llwwl
