index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
197,309684,2022-03-29,00:00,2022,2018,D1 Féminine Mexique - Clôture,5.956,Journée 13,109360,109368,Toluca,Querétaro,Toluca - Querétaro,,,,,,,,,,,,,,,,,,,
81,365118,2022-03-29,00:10,2022,192,Primera Nacional B,23.716,Temporada Regular,3068,5903,Instituto,Ferro Carril Oeste,Instituto - Ferro Carril Oeste,,,,,61.0,58.0,3.0,1418.0,1295.0,-8.7,-34.0,8.0,-42.0,36.1,30.4,33.6,1.05,1.0,0.050000000000000044
91,327234,2022-03-29,00:15,2022,1551,Premier MX Montée - Clôture,18.173,Serie A - Grupo 2,65617,143772,Sporting Canamy,Leviatán,Sporting Canamy - Leviatán,,,,,34.0,34.0,0.0,456.0,454.0,-0.4,-18.0,-14.0,-4.0,41.2,30.3,28.5,1.13,0.89,0.23999999999999988
66,318401,2022-03-29,00:30,2022,42,Ouverture - Colombie,46.500,Temporada Regular,5944,11324,Deportivo Pasto,La Equidad,Deportivo Pasto - La Equidad,,,,,66.0,66.0,0.0,1707.0,1690.0,-1.0,-31.0,-14.0,-17.0,38.7,31.8,29.5,1.03,0.85,0.18000000000000005
201,410865,2022-03-29,01:00,2022,1910,Championnat du Brésil féminin,5.333,1ª Fase,100129,142483,Flamengo Fem,Real Brasilia Fem,Flamengo Fem - Real Brasilia Fem,,,,,,,,,,,,,,,,,,,
83,365117,2022-03-29,01:00,2022,192,Primera Nacional B,23.716,Temporada Regular,16642,6204,Argentino Agropecuario,Indep. Rivadavia,Argentino Agropecuario - Indep. Rivadavia,,,,,37.0,56.0,-19.0,523.0,1214.0,-56.9,-3.0,0.0,-3.0,32.7,27.1,40.2,1.16,1.31,-0.15000000000000013
82,365110,2022-03-29,01:00,2022,192,Primera Nacional B,23.716,Temporada Regular,3069,16814,Atletico Rafaela,Deportivo Madryn,Atletico Rafaela - Deportivo Madryn,,,,,63.0,43.0,20.0,1523.0,712.0,-53.3,-20.0,-1.0,-19.0,54.5,24.7,20.8,1.63,0.9,0.7299999999999999
181,308540,2022-03-29,01:15,2022,577,Paraibano,7.656,Journée 9,17240,17239,Auto Esporte,Atlético Cajazeirense,Auto Esporte - Atlético Cajazeirense,,,,,65.0,42.0,23.0,1673.0,655.0,-60.8,-69.0,9.0,-78.0,28.2,35.9,36.0,0.71,0.84,-0.13
84,365109,2022-03-29,01:30,2022,192,Primera Nacional B,23.716,Temporada Regular,11929,6545,Dep. Santamarina,Deportivo Morón,Dep. Santamarina - Deportivo Morón,,,,,55.0,44.0,11.0,1158.0,720.0,-37.8,-53.0,-39.0,-14.0,39.1,37.7,23.2,0.84,0.57,0.27
246,388553,2022-03-29,02:00,2022,1546,Division di Honor,1.208,Journée 15,80611,60427,Caravel,Bubali,Caravel - Bubali,,,,,3.0,3.0,0.0,24.0,47.0,-48.9,25.0,-9.0,34.0,56.8,23.3,19.9,1.77,0.94,0.8300000000000001
85,365115,2022-03-29,02:10,2022,192,Primera Nacional B,23.716,Temporada Regular,11960,6582,San Martín Tucumán,Dep. Maipú,San Martín Tucumán - Dep. Maipú,,,,,52.0,41.0,11.0,1047.0,625.0,-40.3,-8.0,-25.0,17.0,59.3,25.2,15.6,1.57,0.66,0.91
67,318406,2022-03-29,02:35,2022,42,Ouverture - Colombie,46.500,Temporada Regular,4372,2255,At. Nacional,Santa Fe,At. Nacional - Santa Fe,,,,,81.0,77.0,4.0,2512.0,2300.0,-8.4,-13.0,-3.0,-10.0,48.4,26.5,25.0,1.45,0.96,0.49
198,309685,2022-03-29,03:00,2022,2018,D1 Féminine Mexique - Clôture,5.956,Journée 13,109355,137703,Pachuca,Mazatlán,Pachuca - Mazatlán,,,,,,,,,,,,,,,,,,,
199,309686,2022-03-29,05:00,2022,2018,D1 Féminine Mexique - Clôture,5.956,Journée 13,109371,109345,León,Guadalajara,León - Guadalajara,,,,,,,,,,,,,,,,,,,
200,309687,2022-03-29,05:00,2022,2018,D1 Féminine Mexique - Clôture,5.956,Journée 13,109367,109370,Tijuana,Necaxa,Tijuana - Necaxa,,,,,,,,,,,,,,,,,,,
180,438572,2022-03-29,11:00,2022,1987,Amicaux internationaux U19,8.864,Journée 8,85304,101482,Corée du Sud U19,Indonesia Sub 19,Corée du Sud U19 - Indonesia Sub 19,,,,,,,,,,,,,,,,,,,
194,304905,2022-03-29,11:30,2022,56,I League,6.346,Journée 8,100760,100761,Real Kashmir,Sudeva Delhi,Real Kashmir - Sudeva Delhi,,,,,10.0,10.0,0.0,153.0,150.0,-2.0,93.0,85.0,8.0,54.4,18.2,27.4,2.67,1.91,0.76
215,230900,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,80508,121843,Hapoel Iksal,Tzeirei Kafr Kanna,Hapoel Iksal - Tzeirei Kafr Kanna,,,,,10.0,17.0,-7.0,151.0,239.0,-36.8,-46.0,83.0,-129.0,13.7,20.8,65.5,0.76,1.95,-1.19
216,230901,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,107892,60720,Hapoel Kaukab,Maccabi Tzur Shalom,Hapoel Kaukab - Maccabi Tzur Shalom,,,,,18.0,6.0,12.0,245.0,111.0,-54.7,32.0,35.0,-3.0,52.0,21.9,26.1,1.96,1.34,0.6199999999999999
213,230898,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,121842,19250,Hapoel Bnei Fureidis,Ironi Tiberias,Hapoel Bnei Fureidis - Ironi Tiberias,,,,,17.0,13.0,4.0,236.0,184.0,-22.0,-11.0,88.0,-99.0,25.7,23.0,51.3,1.23,1.82,-0.5900000000000001
69,306666,2022-03-29,12:00,2022,1841,Qualifications Euro U19,36.800,Ronda Élite,9124,9126,Géorgie U19,Croatie U19,Géorgie U19 - Croatie U19,,,,,21.0,32.0,-11.0,272.0,422.0,-35.5,-26.0,-11.0,-15.0,34.1,31.4,34.5,0.97,0.97,0.0
68,306665,2022-03-29,12:00,2022,1841,Qualifications Euro U19,36.800,Ronda Élite,88869,6022,Islande U19,Roumanie U19,Islande U19 - Roumanie U19,,,,,25.0,32.0,-7.0,310.0,415.0,-25.3,117.0,43.0,74.0,68.2,15.3,16.5,3.05,1.52,1.5299999999999998
214,230899,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,138757,113156,Hapoel Bueine,Maccabi Ironi Tamra,Hapoel Bueine - Maccabi Ironi Tamra,,,,,10.0,17.0,-7.0,153.0,235.0,-34.9,12.0,20.0,-8.0,44.2,24.7,31.1,1.57,1.28,0.29000000000000004
2,419107,2022-03-29,12:00,2022,307,Amicaux internationaux,72.000,,17579,62159,Bangladesh,Mongolie,Bangladesh - Mongolie,,,,,9.0,3.0,6.0,139.0,19.0,-86.3,3.0,-100.0,103.0,78.4,21.6,0.0,,,
217,230902,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,80509,80510,Hapoel Kfar Kana,Ironi Baka El Garbiya,Hapoel Kfar Kana - Ironi Baka El Garbiya,,,,,6.0,9.0,-3.0,110.0,141.0,-22.0,8.0,6.0,2.0,47.1,25.5,27.3,1.53,1.1,0.42999999999999994
212,230897,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,112387,113140,Hapoel Bnei Zalafa,Tzeirey Taibe,Hapoel Bnei Zalafa - Tzeirey Taibe,,,,,10.0,17.0,-7.0,151.0,235.0,-35.7,11.0,51.0,-40.0,37.1,23.6,39.3,1.56,1.61,-0.050000000000000044
220,230905,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,60710,113146,Hapoel Herzliya,Hapoel Bnei Ar'ara 'Ara,Hapoel Herzliya - Hapoel Bnei Ar'ara 'Ara,,,,,8.0,17.0,-9.0,138.0,243.0,-43.2,69.0,34.0,35.0,58.5,19.2,22.3,2.37,1.43,0.9400000000000002
219,230904,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,60711,96936,Ironi Nesher,MS Tira,Ironi Nesher - MS Tira,,,,,16.0,9.0,7.0,231.0,145.0,-37.2,20.0,45.0,-25.0,44.4,23.5,32.1,1.71,1.42,0.29000000000000004
218,230903,2022-03-29,12:00,2022,1570,Troisième division Israël,4.912,Norte,59847,66106,Hapoel Migdal,Rubi Shapira,Hapoel Migdal - Rubi Shapira,,,,,10.0,9.0,1.0,151.0,140.0,-7.3,-9.0,1.0,-10.0,41.2,28.2,30.6,1.26,1.04,0.21999999999999997
39,609818,2022-03-29,12:35,2019,122,Qualif. Coupe du Monde Asie,68.000,3ª Ronda,3798,6330,Japon,Vietnam,Japon - Vietnam,,,,,68.0,42.0,26.0,1825.0,661.0,-63.8,-13.0,13.0,-26.0,71.2,18.1,10.7,,,
45,275277,2022-03-29,13:00,2021,848,Qualif. Euro U21,58.824,Grupo H,101101,11411,Gibraltar U21,Moldavie U21,Gibraltar U21 - Moldavie U21,,,,,3.0,43.0,-40.0,21.0,697.0,-97.0,-100.0,-100.0,0.0,0.0,100.0,0.0,,,
3,401804,2022-03-29,13:00,2022,307,Amicaux internationaux,72.000,,6336,3721,Azerbaïdjan,Lettonie,Azerbaïdjan - Lettonie,,,,,52.0,59.0,-7.0,1033.0,1338.0,-22.8,-29.0,43.0,-72.0,20.9,25.3,53.8,,,
46,275361,2022-03-29,13:00,2021,848,Qualif. Euro U21,58.824,Grupo H,13668,13648,Kazakhstan U21,Écosse U21,Kazakhstan U21 - Écosse U21,,,,,18.0,53.0,-35.0,252.0,1086.0,-76.8,-55.0,0.0,-55.0,39.2,60.8,0.0,,,
230,389252,2022-03-29,13:00,2022,481,Premier League,4.733,Journée 23,16002,15998,KCCA FC,Bright Stars FC,KCCA FC - Bright Stars FC,,,,,20.0,12.0,8.0,268.0,176.0,-34.3,21.0,-16.0,37.0,58.7,23.6,17.7,1.72,0.82,0.9
40,609815,2022-03-29,13:30,2019,122,Qualif. Coupe du Monde Asie,68.000,3ª Ronda,3806,9142,Iran,Liban,Iran - Liban,,,,,63.0,49.0,14.0,1551.0,902.0,-41.8,-20.0,-15.0,-5.0,55.2,26.0,18.8,,,
7,431432,2022-03-29,14:00,2022,307,Amicaux internationaux,72.000,,3789,3794,Zambie,Guinée,Zambie - Guinée,,,,,58.0,59.0,-1.0,1308.0,1349.0,-3.0,-9.0,-36.0,27.0,52.8,28.9,18.3,,,
221,231207,2022-03-29,14:00,2022,1570,Troisième division Israël,4.912,Norte,59856,112389,Bnei Eilat,Shimshon Kafr,Bnei Eilat - Shimshon Kafr,,,,,5.0,10.0,-5.0,98.0,154.0,-36.4,-20.0,16.0,-36.0,30.5,28.9,40.6,1.0,1.2,-0.19999999999999996
4,431428,2022-03-29,14:00,2022,307,Amicaux internationaux,72.000,,63908,11599,Burundi,Liberia,Burundi - Liberia,,,,,43.0,47.0,-4.0,694.0,850.0,-18.4,0.0,-76.0,76.0,0.0,76.8,23.2,,,
5,431429,2022-03-29,14:00,2022,307,Amicaux internationaux,72.000,,5427,11417,Singapour,Philippines,Singapour - Philippines,,,,,39.0,41.0,-2.0,582.0,645.0,-9.8,-11.0,-100.0,89.0,71.6,28.4,0.0,,,
195,304906,2022-03-29,14:00,2022,56,I League,6.346,Journée 8,107746,134942,Gokulam,Rajasthan,Gokulam - Rajasthan,,,,,24.0,12.0,12.0,304.0,181.0,-40.5,77.0,35.0,42.0,65.1,17.3,17.7,2.63,1.34,1.2899999999999998
