index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
1,438600,2022-05-04,00:15,2022,204,Copa Libertadores,58.333,Grupo A,3606,980,Dep. Táchira,CS Emelec,Dep. Táchira - CS Emelec,,,,,50.0,49.0,1.0,959.0,904.0,-5.7,28.0,15.0,13.0,55.2,22.4,22.4,1.89,1.12,0.7699999999999998,ldw,ddl
2,438612,2022-05-04,00:15,2022,204,Copa Libertadores,58.333,Grupo A,5602,1553,Caracas,Libertad,Caracas - Libertad,,,,,50.0,46.0,4.0,959.0,805.0,-16.1,31.0,46.0,-15.0,54.0,21.1,24.9,2.08,1.36,0.72,dld,dww
3,438613,2022-05-04,00:15,2022,204,Copa Libertadores,58.333,Grupo A,11372,374,The Strongest,Athletico Paranaense,The Strongest - Athletico Paranaense,,,,,61.0,77.0,-16.0,1452.0,2266.0,-35.9,10.0,-31.0,41.0,42.2,28.0,29.7,1.28,1.02,0.26,dld,dwl
4,438601,2022-05-04,02:30,2022,204,Copa Libertadores,58.333,Grupo A,112419,11584,Independiente Petrolero,Palmeiras,Independiente Petrolero - Palmeiras,,,,,34.0,80.0,-46.0,454.0,2452.0,-81.5,47.0,0.0,47.0,17.3,18.7,64.0,1.15,2.35,-1.2000000000000002,dll,www
5,438624,2022-05-04,02:30,2022,204,Copa Libertadores,58.333,Grupo A,1010,1770,Estudiantes La Plata,Nacional,Estudiantes La Plata - Nacional,,,,,82.0,70.0,12.0,2564.0,1920.0,-25.1,14.0,-4.0,18.0,66.2,19.4,14.4,2.15,0.89,1.2599999999999998,wdw,ldw
6,438636,2022-05-04,02:30,2022,204,Copa Libertadores,58.333,Grupo A,5639,3881,América Mineiro,Atl. Mineiro,América Mineiro - Atl. Mineiro,,,,,62.0,83.0,-21.0,1486.0,2649.0,-43.9,-15.0,9.0,-24.0,17.6,21.8,60.6,0.92,1.91,-0.9899999999999999,ldl,wdd
8,352804,2022-05-04,07:00,2022,58,Championnat J1,27.022,Journée 11,1199,828,Gamba Osaka,Consadole Sapporo,Gamba Osaka - Consadole Sapporo,,,,,22.0,50.0,-28.0,288.0,954.0,-69.8,-3.0,31.0,-34.0,25.7,23.6,50.7,1.17,1.74,-0.5700000000000001,wddll,dlwdw
16,282384,2022-05-04,11:05,2022,54,A-League,12.500,Journée 8,1795,121852,Newcastle Jets,Western United FC,Newcastle Jets - Western United FC,,,,,18.0,38.0,-20.0,249.0,538.0,-53.7,-17.0,6.0,-23.0,32.4,28.9,38.8,1.05,1.18,-0.1299999999999999,,
17,282484,2022-05-04,13:05,2022,54,A-League,12.500,Journée 8,1953,18574,Perth Glory,Melbourne City,Perth Glory - Melbourne City,,,,,35.0,37.0,-2.0,465.0,507.0,-8.3,35.0,96.0,-61.0,38.0,21.3,40.7,1.87,1.93,-0.05999999999999983,,
9,18327,2022-05-04,16:30,2022,95,NB I Hongrie,24.697,Journée 31,13182,1902,Gyirmot,Paksi SE,Gyirmot - Paksi SE,,,,,47.0,48.0,-1.0,855.0,896.0,-4.6,-16.0,145.0,-161.0,15.5,17.1,67.4,1.18,2.57,-1.39,ldldd,dlwwl
