index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
0,312019,2022-03-30,01:30,2020,120,Qualif. Coupe du Monde Amé. sud,75.000,Journée 18,3771,3770,Équateur,Argentine,Équateur - Argentine,,,,,76.0,90.0,-14.0,2255.0,3196.0,-29.4,-3.0,16.0,-19.0,23.4,23.4,53.2,,,
1,312020,2022-03-30,01:30,2020,120,Qualif. Coupe du Monde Amé. sud,75.000,Journée 18,3777,3773,Pérou,Paraguay,Pérou - Paraguay,,,,,73.0,77.0,-4.0,2090.0,2263.0,-7.6,26.0,-52.0,78.0,68.8,21.5,9.7,,,
2,312021,2022-03-30,01:30,2020,120,Qualif. Coupe du Monde Amé. sud,75.000,Journée 18,3776,3768,Chili,Uruguay,Chili - Uruguay,,,,,83.0,82.0,1.0,2664.0,2609.0,-2.1,-36.0,-55.0,19.0,48.0,36.1,15.9,,,
3,312022,2022-03-30,01:30,2020,120,Qualif. Coupe du Monde Amé. sud,75.000,Journée 18,3772,3774,Venezuela,Colombie,Venezuela - Colombie,,,,,67.0,81.0,-14.0,1727.0,2537.0,-31.9,18.0,-34.0,52.0,45.8,27.6,26.7,,,
4,504418,2022-03-30,01:30,2020,120,Qualif. Coupe du Monde Amé. sud,75.000,Journée 18,3769,3775,Bolivie,Brésil,Bolivie - Brésil,,,,,65.0,92.0,-27.0,1640.0,3317.0,-50.6,155.0,-24.0,179.0,54.6,19.6,25.8,,,
6,282463,2022-03-30,10:05,2022,54,A-League,12.115,Journée 21,2455,137995,Sydney,Macarthur FC,Sydney - Macarthur FC,,,,,40.0,50.0,-10.0,597.0,968.0,-38.3,17.0,4.0,13.0,42.5,25.8,31.7,1.45,1.21,0.24
7,282467,2022-03-30,10:05,2022,54,A-League,12.115,Journée 21,4087,2744,Brisbane Roar,Wellington Phoenix,Brisbane Roar - Wellington Phoenix,,,,,38.0,29.0,9.0,555.0,362.0,-34.8,9.0,21.0,-12.0,51.7,23.7,24.6,1.73,1.12,0.6099999999999999
8,282404,2022-03-30,12:40,2022,54,A-League,12.115,Journée 21,1953,1795,Perth Glory,Newcastle Jets,Perth Glory - Newcastle Jets,,,,,35.0,18.0,17.0,472.0,251.0,-46.8,28.0,45.0,-17.0,50.6,22.0,27.3,1.94,1.38,0.56
5,438794,2022-03-30,19:00,2022,123,Qualif. Coupe du Monde Océanie,67.000,Finale,11592,3808,Îles Salomon,Nouvelle-Zélande,Îles Salomon - Nouvelle-Zélande,,,,,12.0,58.0,-46.0,178.0,1303.0,-86.3,125.0,-44.0,169.0,68.5,17.7,13.8,,,
