index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,country,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
15,96482,2022-05-06,18:15,2022,89,Serie B,37.500,Journée 38,it,1056,1927,Crotone,Parma,Crotone - Parma,,,,,65.0,40.0,25.0,1642.0,602.0,-63.3,-25.0,9.0,-34.0,58.0,23.6,18.4,1.72,0.85,0.87,dldwd,wllld
26,16526,2022-05-06,18:30,2022,93,2. Liga,34.173,Journée 33,de,4800,2446,Paderborn,Sandhausen,Paderborn - Sandhausen,,,,,42.0,48.0,-6.0,675.0,894.0,-24.5,32.0,49.0,-17.0,38.0,22.8,39.1,1.66,1.69,-0.030000000000000027,wdwwd,dwdwl
25,16521,2022-05-06,18:30,2022,93,2. Liga,34.173,Journée 33,de,1166,5664,Fortuna Düsseldorf,Darmstadt 98,Fortuna Düsseldorf - Darmstadt 98,,,,,55.0,60.0,-5.0,1152.0,1399.0,-17.7,29.0,63.0,-34.0,34.2,22.3,43.5,1.62,1.84,-0.21999999999999997,dwddw,wllww
53,456331,2022-05-06,18:30,2022,386,Super Liga,11.786,Ronda Campeonato,rs,80053,13493,Bačka Topola,Napredak Krusevac,Bačka Topola - Napredak Krusevac,,,,,18.0,37.0,-19.0,250.0,523.0,-52.2,22.0,-32.0,54.0,55.6,25.2,19.2,1.58,0.81,0.77,wwlld,wllll
1,49378,2022-05-06,18:45,2022,7,Serie A,74.211,Journée 36,it,1381,983,Inter,Empoli,Inter - Empoli,,,,,85.0,71.0,14.0,2814.0,1970.0,-30.0,14.0,17.0,-3.0,74.5,15.6,9.9,2.51,0.8,1.7099999999999997,wwwlw,ldlwl
51,290689,2022-05-06,18:45,2022,311,Ligue 1 algérienne,12.132,Journée 29,dz,11506,11502,JS Kabylie,CR Belouizdad,JS Kabylie - CR Belouizdad,,,,,44.0,42.0,2.0,734.0,648.0,-11.7,-14.0,23.0,-37.0,38.0,27.2,34.9,1.27,1.2,0.07000000000000006,dwwld,wwdwl
36,454620,2022-05-06,19:00,2022,205,A PFG,24.150,Ronda Campeonato,bg,4068,4565,CSKA Sofia,Slavia Sofia,CSKA Sofia - Slavia Sofia,,,,,49.0,55.0,-6.0,913.0,1148.0,-20.5,-2.0,50.0,-52.0,27.8,23.9,48.3,1.23,1.7,-0.47,lwldl,lwlld
37,431543,2022-05-06,19:00,2022,13,Championnat du Danemark,23.500,Ronda Campeonato,dk,2339,9793,Silkeborg IF,Randers,Silkeborg IF - Randers,,,,,48.0,49.0,-1.0,892.0,904.0,-1.3,51.0,17.0,34.0,60.0,20.2,19.8,2.16,1.17,0.9900000000000002,wwwww,lllww
14,50153,2022-05-06,19:00,2022,37,Süper Lig,40.816,Journée 36,tr,12892,1452,Gaziantep BB,Kayserispor,Gaziantep BB - Kayserispor,,,,,48.0,66.0,-18.0,867.0,1706.0,-49.2,34.0,8.0,26.0,36.1,23.6,40.3,1.53,1.63,-0.09999999999999987,ldldl,lwddl
13,50151,2022-05-06,19:00,2022,37,Süper Lig,40.816,Journée 36,tr,12919,2527,Hatayspor,Trabzonspor,Hatayspor - Trabzonspor,,,,,38.0,74.0,-36.0,543.0,2092.0,-74.0,37.0,33.0,4.0,15.3,16.1,68.6,1.28,2.77,-1.49,dldll,dddwd
52,290693,2022-05-06,19:00,2022,311,Ligue 1 algérienne,12.132,Journée 29,dz,11509,11503,USM Alger,Tlemcen,USM Alger - Tlemcen,,,,,44.0,18.0,26.0,752.0,251.0,-66.6,7.0,-59.0,66.0,75.2,18.5,6.3,1.94,0.38,1.56,dddll,llwll
29,417917,2022-05-06,19:30,2022,20,Liga 1,30.000,Ronda Descenso,ro,4625,9960,Botosani,Dinamo Bucureşti,Botosani - Dinamo Bucureşti,,,,,55.0,69.0,-14.0,1179.0,1876.0,-37.2,-22.0,-58.0,36.0,42.7,36.3,21.0,0.92,0.55,0.37,llwww,wllww
38,430469,2022-05-06,20:00,2022,185,Premier League Bosnie,18.295,Journée 29,ba,17005,5850,Velež Mostar,Rudar Prijedor,Velež Mostar - Rudar Prijedor,,,,,35.0,30.0,5.0,479.0,388.0,-19.0,18.0,-16.0,34.0,59.2,23.4,17.4,1.74,0.82,0.92,wwdwl,dldww
10,2611,2022-05-06,20:00,2022,9,Eredivisie,49.412,Journée 32,nl,2282,2169,Cambuur,RKC Waalwijk,Cambuur - RKC Waalwijk,,,,,59.0,55.0,4.0,1361.0,1141.0,-16.2,56.0,86.0,-30.0,51.4,19.3,29.4,2.43,1.84,0.5900000000000001,lllld,wdllw
44,30776,2022-05-06,20:15,2022,15,Championnat de Slovénie ,16.069,Journée 34,si,1077,61113,FC Koper,Tabor Sežana,FC Koper - Tabor Sežana,,,,,44.0,15.0,29.0,724.0,221.0,-69.5,-7.0,11.0,-18.0,52.7,24.2,23.2,1.68,1.03,0.6499999999999999,wwwwd,lwlll
16,96477,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,2621,2691,US Alessandria,Vicenza ,US Alessandria - Vicenza ,,,,,48.0,55.0,-7.0,882.0,1174.0,-24.9,-21.0,-14.0,-7.0,34.9,31.7,33.3,0.97,0.94,0.030000000000000027,lwwdd,dllww
17,96478,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,290,2482,Ascoli,Ternana Calcio,Ascoli - Ternana Calcio,,,,,53.0,54.0,-1.0,1064.0,1094.0,-2.7,-18.0,60.0,-78.0,28.0,24.8,47.2,1.17,1.6,-0.43000000000000016,lwwdw,lwdww
18,96479,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,465,2376,Benevento,SPAL,Benevento - SPAL,,,,,53.0,53.0,0.0,1053.0,1082.0,-2.7,24.0,-30.0,54.0,63.2,22.6,14.2,1.78,0.7,1.08,wlwll,dlddw
3,15839,2022-05-06,20:30,2022,8,Bundesliga,68.346,Journée 33,de,515,258,VfL Bochum,Arminia Bielefeld,VfL Bochum - Arminia Bielefeld,,,,,60.0,55.0,5.0,1366.0,1164.0,-14.8,19.0,17.0,2.0,53.7,22.7,23.6,1.86,1.16,0.7000000000000002,wdllw,dllld
20,96481,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,822,2625,Como,Cremonese,Como - Cremonese,,,,,42.0,47.0,-5.0,648.0,840.0,-22.9,-6.0,18.0,-24.0,35.0,26.8,38.3,1.23,1.3,-0.07000000000000006,llllw,wlwll
21,96483,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,1174,1973,Frosinone,Pisa SC,Frosinone - Pisa SC,,,,,55.0,51.0,4.0,1162.0,979.0,-15.7,22.0,1.0,21.0,61.0,21.3,17.7,1.97,0.96,1.01,lwdwl,ddwld
33,8101,2022-05-06,20:30,2022,128,Ekstraklasa,24.706,Journée 32,pl,1465,1468,Legia Warszawa,KS Górnik Zabrze,Legia Warszawa - KS Górnik Zabrze,,,,,65.0,44.0,21.0,1652.0,740.0,-55.2,-33.0,29.0,-62.0,50.9,26.4,22.6,1.47,0.89,0.58,wdlll,lllwd
22,96484,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,1531,6878,Lecce,Pordenone,Lecce - Pordenone,,,,,50.0,39.0,11.0,943.0,569.0,-39.7,32.0,-16.0,48.0,70.1,18.3,11.6,2.19,0.76,1.43,wwlwl,wllld
24,150446,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,10755,275,Nuova Cosenza,Cittadella,Nuova Cosenza - Cittadella,,,,,44.0,50.0,-6.0,728.0,964.0,-24.5,-14.0,-19.0,5.0,39.0,30.7,30.3,1.08,0.92,0.16000000000000003,lwlwd,dwldw
