id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
7527,LTCDOWN,LTCDOWN,ltcdown,3160,1,2020-10-26T07:55:00.000Z,2022-01-23T11:55:00.000Z
7530,Yearn Finance Red Moon,YFRM,yearn-finance-red-moon,8106,1,2020-10-26T07:10:00.000Z,2022-01-23T11:55:00.000Z
7533,Oraichain Token,ORAI,oraichain-token,1028,1,2020-10-27T03:05:00.000Z,2022-01-23T11:55:00.000Z
7534,Tsunami finance,NAMI,tsunami,8587,1,2020-10-27T03:05:00.000Z,2022-01-23T11:55:00.000Z
7535,Keep3rV1,KP3R,keep3rv1,160,1,2020-10-27T10:40:00.000Z,2022-01-23T11:55:00.000Z
7536,Aspire,ASP,aspire,8332,1,2020-10-27T16:45:00.000Z,2022-01-23T11:55:00.000Z
7537,Tatcoin,TAT,tatcoin,7629,1,2020-10-27T17:40:00.000Z,2022-01-23T11:55:00.000Z
7539,Colibri Protocol,CLBR,colibri,8257,1,2020-10-28T07:00:00.000Z,2022-01-23T11:55:00.000Z
7540,MegaCryptoPolis,MEGA,megacryptopolis,4750,1,2020-10-28T07:35:00.000Z,2022-01-23T11:58:00.000Z
7543,Hoo Token,HOO,hoo-token,416,1,2020-10-28T08:10:00.000Z,2022-01-23T11:55:00.000Z
7544,The Luxury Coin,TLB,the-luxury-coin,4539,1,2020-10-28T22:15:00.000Z,2022-01-23T11:55:00.000Z
7545,Jointer,JNTR,jointer,4050,1,2020-10-28T08:15:00.000Z,2022-01-23T11:55:00.000Z
7547,SURF Finance,SURF,surf,7144,1,2020-10-28T08:55:00.000Z,2022-01-23T11:55:00.000Z
7548,WEMIX,WEMIX,wemix,224,1,2020-10-28T23:50:00.000Z,2022-01-23T11:55:00.000Z
7551,YYFI.Protocol,YYFI,yyfi-protocol,8196,1,2020-10-29T02:45:00.000Z,2022-01-23T11:55:00.000Z
7552,Hyve,HYVE,hyve,1268,1,2020-10-29T03:10:00.000Z,2022-01-23T11:55:00.000Z
7553,unFederalReserve,eRSDL,unfederalreserve,1078,1,2020-10-29T04:45:00.000Z,2022-01-23T11:55:00.000Z
7554,Hiz Finance,HIZ,hiz-finance,8588,1,2020-10-29T05:00:00.000Z,2022-01-23T11:55:00.000Z
7559,Tadpole Finance,TAD,tadpole-finance,1735,1,2020-12-07T12:55:00.000Z,2022-01-23T11:55:00.000Z
7560,Fundamenta,FMTA,fundamenta,2287,1,2020-10-29T11:25:00.000Z,2022-01-23T11:55:00.000Z
7564,Pteria,PTERIA,pteria,8589,1,2020-10-30T03:30:00.000Z,2022-01-23T11:55:00.000Z
7569,King Swap,$KING,kingswap,3405,1,2020-10-30T15:45:00.000Z,2022-01-23T11:55:00.000Z
7570,Blurt,BLURT,blurt,6953,1,2020-11-01T04:40:00.000Z,2022-01-23T11:55:00.000Z
7571,Social Rocket,ROCKS,social-rocket,8590,1,2020-11-01T05:30:00.000Z,2022-01-23T11:55:00.000Z
7572,Yearn Secure,YSEC,yearn-secure,2229,1,2020-11-01T05:40:00.000Z,2022-01-23T11:55:00.000Z
7574,Stacy,STACY,stacy,7047,1,2020-11-01T06:15:00.000Z,2022-01-23T11:55:00.000Z
7576,Kava Lend,HARD,hard-protocol,485,1,2020-11-05T17:00:00.000Z,2022-01-23T11:55:00.000Z
7579,Mars Network,MARS,mars-network,7342,1,2020-11-30T14:05:00.000Z,2022-01-23T11:55:00.000Z
7582,Keep4r,KP4R,keep4r,1844,1,2020-11-02T04:15:00.000Z,2022-01-23T11:55:00.000Z
7583,Auric Network,AUSCM,auric-network,5139,1,2020-11-02T07:55:00.000Z,2022-01-23T11:55:00.000Z
7584,SwapAll,SAP,swapall,3955,1,2021-05-14T22:33:06.000Z,2022-01-23T11:58:00.000Z
7585,Freeway Token,FWT,freeway-token,474,1,2020-11-02T08:15:00.000Z,2022-01-23T11:55:00.000Z
7586,Yearn Classic Finance,EARN,yearn-classic-finance,4055,1,2020-11-02T08:55:00.000Z,2022-01-23T11:55:00.000Z
7587,UTU Protocol,UTU,utu-protocol,1633,1,2020-11-03T01:30:00.000Z,2022-01-23T11:55:00.000Z
7588,Gameswap,GSWAP,gameswap,799,1,2020-11-03T03:15:00.000Z,2022-01-23T11:55:00.000Z
7589,Cryptochrome,CHM,cryptochrome,5656,1,2020-11-03T07:00:00.000Z,2022-01-23T11:55:00.000Z
7590,Dvision Network,DVI,dvision-network,182,1,2020-11-03T07:10:00.000Z,2022-01-23T11:55:00.000Z
7591,Misbloc,MSB,misbloc,812,1,2020-11-03T07:10:00.000Z,2022-01-23T11:55:00.000Z
7592,Pepedex,PPDEX,pepedex,6922,1,2021-03-23T02:20:00.000Z,2022-01-23T11:55:00.000Z
7593,DefiDollar DAO,DFD,defidollar-dao,4374,1,2020-11-03T08:15:00.000Z,2022-01-23T11:55:00.000Z
7594,Smoothy,SMTY,smoothy,2121,1,2021-04-27T13:06:06.000Z,2022-01-23T11:56:00.000Z
7595,SERGS,SERGS,sergs,8591,1,2020-11-04T03:20:00.000Z,2022-01-23T11:55:00.000Z
7596,SmartCredit Token,SMARTCREDIT,smartcredit-token,1421,1,2020-11-04T17:05:00.000Z,2022-01-23T11:55:00.000Z
7597,CSP DAO,NEBO,csp-dao,6352,1,2020-11-05T03:15:00.000Z,2022-01-23T11:55:00.000Z
7598,Tessla Coin,TSLA,tessla-coin,3297,1,2020-11-05T04:40:00.000Z,2022-01-23T11:55:00.000Z
7600,Wrapped Conceal,WCCX,wrapped-conceal,7554,1,2020-11-05T08:00:00.000Z,2022-01-23T11:55:00.000Z
7609,Fiola,FLA,fiola,8592,1,2020-11-09T17:20:00.000Z,2022-01-23T11:55:00.000Z
7611,Zuplo,ZLP,zuplo,8043,1,2020-11-08T03:05:00.000Z,2022-01-23T11:55:00.000Z
7612,Yearn Finance Bit2,YFB2,yearn-finance-bit2,8180,1,2020-11-08T03:40:00.000Z,2022-01-23T11:55:00.000Z
7613,Yfi.mobi,YFIM,yfi-mobi,8593,1,2020-11-08T03:30:00.000Z,2022-01-23T11:55:00.000Z
7614,TEAL,TEAT,teal,7844,1,2020-11-08T03:20:00.000Z,2022-01-23T11:55:00.000Z
7615,MTI Finance,MTI,mti-finance,8594,1,2020-11-08T03:40:00.000Z,2022-01-23T11:55:00.000Z
7616,Lattice Token,LTX,lattice-token,788,1,2020-11-08T04:00:00.000Z,2022-01-23T11:55:00.000Z
7617,saffron.finance,SFI,saffron-finance,841,1,2020-11-14T15:15:00.000Z,2022-01-23T11:55:00.000Z
7618,Alpaca City,ALPA,alpaca-city,3971,1,2020-11-09T03:50:00.000Z,2022-01-23T11:55:00.000Z
7619,Bitcoiva,BCA,bitcoiva,3166,1,2020-11-08T23:00:00.000Z,2022-01-23T11:55:00.000Z
7620,Trade.win,TWI,trade-win,6847,1,2020-11-08T23:15:00.000Z,2022-01-23T11:55:00.000Z
7622,UBIX.Network,UBX,ubix-network,934,1,2020-11-08T23:30:00.000Z,2022-01-23T11:55:00.000Z
7623,Libartysharetoken,LST,libartysharetoken,7742,1,2020-11-08T23:30:00.000Z,2022-01-23T11:55:00.000Z
7625,gAsp,GASP,gasp,8198,1,2020-11-09T00:30:00.000Z,2022-01-23T11:55:00.000Z
7627,PicaArtMoney,PICA,picaartmoney,6096,1,2020-11-09T01:35:00.000Z,2022-01-23T11:55:00.000Z
7628,Coral Swap,CORAL,coral-swap,5556,1,2020-11-09T01:35:00.000Z,2022-01-23T11:55:00.000Z
7630,Ethereum Lightning,ETLT,ethereumlightning,4087,1,2020-11-09T02:00:00.000Z,2022-01-23T11:55:00.000Z
7631,FRMx Token,FRMX,frmx-token,3965,1,2020-11-09T05:25:00.000Z,2022-01-23T11:55:00.000Z
7632,Rake Finance,RAK,rake-finance,4091,1,2020-11-09T09:00:00.000Z,2022-01-23T11:55:00.000Z
7634,The LoveChain,LOV,the-lovechain,7985,1,2020-11-09T08:35:00.000Z,2022-01-23T11:55:00.000Z
7635,UniWorld,UNW,uniworld,3341,1,2020-11-09T08:40:00.000Z,2022-01-23T11:55:00.000Z
7636,Team Heretics Fan Token,TH,team-heretics-fan-token,2198,1,2020-11-09T10:30:00.000Z,2022-01-23T11:55:00.000Z
7637,Trabzonspor Fan Token,TRA,trabzonspor-fan-token,1030,1,2020-11-09T10:30:00.000Z,2022-01-23T11:55:00.000Z
7638,Apollon Limassol,APL,apollon-limassol,1977,1,2020-11-09T10:30:00.000Z,2022-01-23T11:55:00.000Z
7639,Club Atletico Independiente,CAI,club-atletico-independiente,2076,1,2020-11-09T10:30:00.000Z,2022-01-23T11:55:00.000Z
7640,Future-Cash Digital,FCD,future-cash-digital,8595,1,2020-11-10T22:55:00.000Z,2022-01-23T11:55:00.000Z
7641,Medicalveda,MVEDA,medicalveda,4246,1,2020-11-10T01:30:00.000Z,2022-01-23T11:55:00.000Z
7643,Nyan V2,NYAN-2,nyan-v2,6733,1,2020-11-10T03:40:00.000Z,2022-01-23T11:55:00.000Z
7645,WadzPay Token,WTK,wadzpay-token,3326,1,2021-09-28T21:24:06.000Z,2022-01-23T11:59:00.000Z
7647,Azuki,AZUKI,azuki,2024,1,2020-11-10T05:00:00.000Z,2022-01-23T11:55:00.000Z
7650,LIQUID,LIQUID,liquidefi,7480,1,2020-11-10T07:15:00.000Z,2022-01-23T11:55:00.000Z
7653,Oasis Network,ROSE,oasis-network,73,1,2020-11-18T08:10:00.000Z,2022-01-23T11:55:00.000Z
7654,RFOX,RFOX,redfox-labs,395,1,2020-11-11T08:20:00.000Z,2022-01-23T11:55:00.000Z
7655,CloudCoin,CCE,cloudcoin,8032,1,2020-11-11T05:55:00.000Z,2022-01-23T11:55:00.000Z
7657,BAEPAY,BAEPAY,baepay,7110,1,2020-11-15T05:15:00.000Z,2022-01-23T11:55:00.000Z
7658,GARD Governance Token,GGT,gard-governance-token,5527,1,2020-11-11T10:15:00.000Z,2022-01-23T11:55:00.000Z
7661,GYSR,GYSR,gysr,4927,1,2020-11-12T00:50:00.000Z,2022-01-23T11:55:00.000Z
7664,UniCrypt,UNCX,uncx,858,1,2020-11-12T01:50:00.000Z,2022-01-23T11:55:00.000Z
7665,NestEGG Coin,EGG,nestegg-coin,2400,1,2020-11-12T11:00:00.000Z,2022-01-23T11:55:00.000Z
7668,LONG COIN,LONG,long-coin,8271,1,2020-11-12T09:35:00.000Z,2022-01-23T11:55:00.000Z
7669,UNCL,UNCL,uncl,3950,1,2020-11-12T09:40:00.000Z,2022-01-23T11:55:00.000Z
7670,Blueshare Token,BST1,blueshare-token,8596,1,2020-11-12T09:40:00.000Z,2022-01-23T11:55:00.000Z
7671,SEEN,SEEN,seen,1684,1,2020-11-12T10:00:00.000Z,2022-01-23T11:59:00.000Z
7672,Unifi Protocol DAO,UNFI,unifi-protocol-dao,710,1,2020-11-19T03:35:00.000Z,2022-01-23T11:55:00.000Z
7675,Interest Bearing ETH,ibETH,ibeth,8597,1,2020-11-14T13:50:00.000Z,2022-01-23T11:55:00.000Z
7676,Axion,AXN,axion,5201,1,2020-11-14T10:25:00.000Z,2022-01-23T11:55:00.000Z
7677,ReapChain,REAP,reapchain,690,1,2020-11-14T11:20:00.000Z,2022-01-23T11:55:00.000Z
7678,KeeperDAO,ROOK,keeperdao,480,1,2020-11-15T00:20:00.000Z,2022-01-23T11:55:00.000Z
7679,Dtube Coin,DTUBE,dtube-coin,7596,1,2021-11-03T01:45:06.000Z,2022-01-23T11:55:00.000Z
7680,Sav3Token,SAV3,sav3token,8598,1,2020-11-15T08:40:00.000Z,2022-01-23T11:55:00.000Z
7681,Ideaology,IDEA,ideaology,1547,1,2021-02-09T23:15:00.000Z,2022-01-23T11:55:00.000Z
7684,ORO,ORO,oro,5099,1,2020-11-15T07:10:00.000Z,2022-01-23T11:55:00.000Z
7687,Folder Protocol,FOL,folder-protocol,6189,1,2020-12-12T16:15:00.000Z,2022-01-23T11:55:00.000Z
7689,Yup,YUP,yup-token,5922,1,2021-03-18T15:40:00.000Z,2022-01-23T11:55:00.000Z
7690,Your Finance Decentralized,YFD,yfdfi-finance,7271,1,2020-11-15T19:45:00.000Z,2022-01-23T11:55:00.000Z
7691,Farmland Protocol,FAR,farmland-protocol,4434,1,2020-12-27T20:00:00.000Z,2022-01-23T11:55:00.000Z
7692,e-Radix,EXRD,radix,326,1,2020-11-17T17:10:00.000Z,2022-01-23T11:55:00.000Z
