,id,date,league,team1,team2,score1,score2,xg1,xg2,proj_score1,proj_score2,spi1,spi2,importance1,importance2,prob1,probN,prob2
0,8287.0,2021-12-13,Turkish Turkcell Super Lig,Sivasspor,Galatasaray,,,,,1.2,1.24,47.43,52.78,14.3,40.4,0.1987112135816599,0.4863214787589727,0.3149673076593673
1,8288.0,2021-12-13,Russian Premier Liga,Sochi,Spartak Moscow,,,,,1.63,1.49,50.54,54.16,29.1,9.8,0.42821961991034296,0.1526575072724814,0.41912287281717564
2,8289.0,2021-12-13,Turkish Turkcell Super Lig,Gazisehir Gaziantep,Fenerbahce,,,,,1.08,1.81,35.89,54.83,27.2,63.8,0.2295730954148412,0.2522014255576129,0.5182254790275459
3,8290.0,2021-12-13,French Ligue 2,Toulouse,Rodez,,,,,2.07,0.72,51.45,28.66,94.4,13.4,0.5995298515038568,0.2483988470079866,0.15207130148815656
4,8291.0,2021-12-13,Italy Serie A,AS Roma,Spezia,,,,,2.13,0.97,71.44,50.0,29.2,43.8,0.7893184964095642,0.08953854330110346,0.12114296028933226
5,8292.0,2021-12-13,English League Championship,Sheffield United,Queens Park Rangers,,,,,1.61,1.16,53.02,47.16,27.2,27.8,0.3737110617403462,0.20132219545909263,0.4249667428005611
6,8293.0,2021-12-13,Spanish Segunda Division,Mirandes,Real Sociedad II,,,,,1.4,1.13,29.22,27.57,45.7,51.9,0.46126658341551746,0.22340296846229823,0.3153304481221842
7,8294.0,2021-12-13,Spanish Primera Division,Cadiz,Granada,,,,,1.34,1.3,52.66,59.65,49.7,41.2,0.2725025381514971,0.3699981665927493,0.35749929525575364
8,8295.0,2021-12-13,Portuguese Liga,FC Arouca,Vizela,,,,,1.33,1.1,43.9,42.4,28.9,40.6,0.3003861753685654,0.5005347531149591,0.19907907151647541
9,8296.0,2021-12-13,Argentina Primera Division,Banfield,Arsenal Sarandi,,,,,1.35,0.96,40.5,27.17,0.0,0.0,0.38629490747234846,0.3235725328858242,0.29013255964182727
