,id,date,league,team1,team2,score1,score2,xg1,xg2,proj_score1,proj_score2,spi1,spi2,importance1,importance2,prob1,probN,prob2
34,8238.0,2021-12-12,Spanish Segunda Division,Real Valladolid,Real Oviedo,,,,,1.62,0.95,42.31,34.37,61.3,24.9,0.33758966135879515,0.3904758844028659,0.27193445423833906
35,8239.0,2021-12-12,Scottish Premiership,Celtic,Motherwell,,,,,2.55,0.64,65.77,33.84,72.0,5.1,0.6251009547914933,0.2842286999626422,0.09067034524586454
36,8240.0,2021-12-12,South African ABSA Premier League,Maritzburg Utd,Stellenbosch FC,,,,,1.05,0.8,13.2,13.24,,,0.17682145455711795,0.4891818785172226,0.3339966669256595
37,8241.0,2021-12-12,Belgian Jupiler League,Union Saint Gilloise,KV Mechelen,,,,,2.15,1.34,52.28,44.16,55.3,17.9,0.6086061619177994,0.048417370860358945,0.34297646722184183
38,8242.0,2021-12-12,Italy Serie B,Vicenza,Como,,,,,1.32,1.5,21.7,31.42,33.5,13.3,0.2133340300774787,0.14931500000793915,0.6373509699145822
39,8243.0,2021-12-12,Spanish Primera Division,Osasuna,Barcelona,,,,,0.95,1.64,67.79,81.87,10.1,67.6,0.4538538229614729,0.23073703526078,0.31540914177774715
40,8244.0,2021-12-12,Greek Super League,PAOK Salonika,Lamia,,,,,1.88,0.53,48.57,23.52,41.6,28.6,0.5589378357923969,0.14087605320756605,0.3001861110000371
41,8245.0,2021-12-12,Swiss Raiffeisen Super League,Servette,Basel,,,,,1.35,2.17,37.81,53.43,6.2,66.5,0.2288742481468572,0.25506717240133286,0.51605857945181
42,8246.0,2021-12-12,Swiss Raiffeisen Super League,Grasshoppers Zürich,FC Luzern,,,,,1.63,1.39,35.23,32.04,12.6,42.0,0.4884264310489978,0.29650760763959166,0.21506596131141045
43,8247.0,2021-12-12,Portuguese Liga,Moreirense,Portimonense,,,,,1.22,0.98,47.32,49.3,30.4,3.4,0.24555608028614156,0.3808799064594938,0.3735640132543646
44,8248.0,2021-12-12,Portuguese Liga,Belenenses,Estoril Praia,,,,,1.15,1.1,39.69,47.84,50.5,3.5,0.12477789418826635,0.47904795284455715,0.3961741529671765
45,8249.0,2021-12-12,Dutch Eredivisie,Ajax,AZ,,,,,2.39,0.6,89.46,66.43,57.3,13.9,0.8204428200095952,0.1436533755686198,0.035903804421785014
46,8250.0,2021-12-12,Norwegian Tippeligaen,Lillestrom,Sandefjord,,,,,1.67,1.21,36.13,24.42,0.0,0.0,0.4473130074509959,0.17916847364097113,0.373518518908033
47,8251.0,2021-12-12,Norwegian Tippeligaen,Tromso,Viking FK,,,,,1.37,1.53,25.48,42.8,0.0,0.0,0.3108042473735906,0.3308431803241232,0.35835257230228623
48,8252.0,2021-12-12,Norwegian Tippeligaen,Rosenborg,Stromsgodset,,,,,1.77,1.29,44.51,30.81,0.0,0.0,0.4231378249894518,0.30128870677410313,0.2755734682364451
49,8253.0,2021-12-12,Norwegian Tippeligaen,Odd BK,Stabaek,,,,,1.83,1.39,26.34,21.22,0.0,49.9,0.4012067266904674,0.2728411525530945,0.3259521207564381
50,8254.0,2021-12-12,Austrian T-Mobile Bundesliga,FK Austria Vienna,LASK Linz,,,,,1.32,1.23,44.83,49.27,33.1,14.2,0.3323210950838138,0.3977243077849101,0.2699545971312761
51,8255.0,2021-12-12,Turkish Turkcell Super Lig,Besiktas,Kayserispor,,,,,1.94,1.27,44.65,33.84,11.4,30.4,0.38445394927452603,0.2386662551002081,0.37687979562526586
52,8256.0,2021-12-12,South African ABSA Premier League,Kaizer Chiefs,Sekhukhune United,,,,,1.51,0.72,26.44,12.84,,,0.3891643169097243,0.3239882833076325,0.2868473997826432
53,8257.0,2021-12-12,Norwegian Tippeligaen,Haugesund,Molde,,,,,1.41,2.21,31.32,52.19,0.0,46.2,0.28807560837061286,0.23621539598153643,0.47570899564785074
54,8258.0,2021-12-12,Russian Premier Liga,FC Krasnodar,FK Nizhny Novgorod,,,,,2.33,0.91,56.36,31.23,39.7,50.4,0.5440499460568329,0.18629451273332615,0.2696555412098409
55,8259.0,2021-12-12,Norwegian Tippeligaen,Kristiansund BK,Valerenga,,,,,1.36,1.52,27.55,40.41,0.0,0.0,0.3233615108600829,0.2779141681359242,0.3987243210039929
56,8260.0,2021-12-12,Norwegian Tippeligaen,Mjondalen,Bodo/Glimt,,,,,0.72,2.19,20.4,55.05,27.5,100.0,0.12834798876961048,0.30205605098412247,0.569595960246267
57,8261.0,2021-12-12,Russian Premier Liga,Lokomotiv Moscow,FC Ufa,,,,,1.4,0.95,44.95,35.77,8.2,49.8,0.33976334974397643,0.4210140433810496,0.23922260687497401
